GAME_DATE_EST,HOME_TEAM_NAME,VISITOR_TEAM_NAME,PTS_home,PTS_away,HOME_TEAM_WINS,MARKET_PROB_home,MARKET_PROB_away,prob_margin,correct,league,accepted,STATUS
2026-05-01,Marburg W,Keltern W,62,73,0,0.298643,0.701357,0.201357,1,germany_dbbl_women,1,finished
2026-04-26,Keltern W,Marburg W,67,69,0,0.808652,0.191348,0.308652,0,germany_dbbl_women,1,finished
2026-04-24,Keltern W,Marburg W,69,65,1,0.836765,0.163235,0.336765,1,germany_dbbl_women,1,finished
2026-04-15,Alba Berlin W,Keltern W,51,54,0,0.276458,0.723542,0.223542,1,germany_dbbl_women,1,finished
2026-04-13,Syntainics MBC W,Marburg W,81,71,1,0.602067,0.397933,0.102067,1,germany_dbbl_women,1,finished
2026-04-10,Keltern W,Alba Berlin W,62,46,1,0.772296,0.227704,0.272296,1,germany_dbbl_women,1,finished
2026-04-06,Keltern W,Herner W,67,60,1,0.888412,0.111588,0.388412,1,germany_dbbl_women,1,finished
2026-04-05,Syntainics MBC W,TK Hannover W,76,65,1,0.6,0.4,0.1,1,germany_dbbl_women,1,finished
2026-04-02,Alba Berlin W,Osnabruck W,56,40,1,0.770554,0.229446,0.270554,1,germany_dbbl_women,1,finished
2026-04-01,TK Hannover W,Syntainics MBC W,56,76,0,0.634085,0.365915,0.134085,0,germany_dbbl_women,1,finished
2025-04-21,Keltern W,Saarlouis W,93,57,1,0.830534,0.169466,0.330534,1,germany_dbbl_women,1,finished
2025-04-15,Keltern W,Osnabruck W,77,53,1,0.732484,0.267516,0.232484,1,germany_dbbl_women,1,finished
2025-04-13,Saarlouis W,Alba Berlin W,52,55,0,0.628866,0.371134,0.128866,0,germany_dbbl_women,1,finished
2025-04-07,Alba Berlin W,Saarlouis W,67,70,0,0.718954,0.281046,0.218954,0,germany_dbbl_women,1,finished
2025-04-06,Keltern W,Osnabruck W,68,70,0,0.722467,0.277533,0.222467,0,germany_dbbl_women,1,finished
2025-04-05,Alba Berlin W,Saarlouis W,66,57,1,0.679245,0.320755,0.179245,1,germany_dbbl_women,1,finished
2025-04-04,Keltern W,Osnabruck W,73,67,1,0.825,0.175,0.325,1,germany_dbbl_women,1,finished
2025-03-28,Herner W,Saarlouis W,56,77,0,0.55291,0.44709,0.05291,0,germany_dbbl_women,1,finished
2025-03-28,TK Hannover W,Osnabruck W,67,70,0,0.527027,0.472973,0.027027,0,germany_dbbl_women,1,finished
2025-03-23,Alba Berlin W,Syntainics MBC W,71,56,1,0.892451,0.107549,0.392451,1,germany_dbbl_women,1,finished
2025-03-21,Alba Berlin W,Syntainics MBC W,83,59,1,0.874408,0.125592,0.374408,1,germany_dbbl_women,1,finished
2026-05-02,Chunghua Telecom W,Cathay Life W,52,69,0,0.131026,0.868974,0.368974,1,taiwan_wsbl_women,1,finished
2026-04-30,Cathay Life W,Chunghua Telecom W,66,52,1,0.894683,0.105317,0.394683,1,taiwan_wsbl_women,1,finished
2026-04-25,Taiyuan W,Chunghua Telecom W,66,74,0,0.48248,0.51752,0.01752,1,taiwan_wsbl_women,1,finished
2026-04-23,Chunghua Telecom W,Taiyuan W,88,70,1,0.576,0.424,0.076,1,taiwan_wsbl_women,1,finished
2025-05-10,Cathay Life W,Taiyuan W,72,63,1,0.471698,0.528302,0.028302,0,taiwan_wsbl_women,1,finished
2025-05-08,Taiyuan W,Cathay Life W,74,80,0,0.568421,0.431579,0.068421,0,taiwan_wsbl_women,1,finished
2025-05-04,Cathay Life W,Taiyuan W,73,60,1,0.558511,0.441489,0.058511,1,taiwan_wsbl_women,1,finished
2025-05-03,Taiyuan W,Cathay Life W,74,65,1,0.537433,0.462567,0.037433,1,taiwan_wsbl_women,1,finished
2025-04-26,Chunghua Telecom W,Cathay Life W,62,75,0,0.104781,0.895219,0.395219,1,taiwan_wsbl_women,1,finished
2025-04-25,Cathay Life W,Chunghua Telecom W,78,60,1,0.90852,0.09148,0.40852,1,taiwan_wsbl_women,1,finished
2026-04-26,Kipina,ACO Basket,77,58,1,0.433862,0.566138,0.066138,0,finland_i_divisioona_a,1,finished
2026-04-24,ACO Basket,Kipina,74,78,0,0.7,0.3,0.2,0,finland_i_divisioona_a,1,finished
2026-04-21,Kipina,ACO Basket,76,95,0,0.432361,0.567639,0.067639,1,finland_i_divisioona_a,1,finished
2026-04-18,ACO Basket,Kipina,79,89,0,0.64604,0.35396,0.14604,0,finland_i_divisioona_a,1,finished
2026-04-15,Kipina,Karkkila,102,91,1,0.70068,0.29932,0.20068,1,finland_i_divisioona_a,1,finished
2026-04-12,Karkkila,Kipina,96,95,1,0.490515,0.509485,0.009485,0,finland_i_divisioona_a,1,finished
2026-04-10,ACO Basket,Jyvaskyla,81,73,1,0.885589,0.114411,0.385589,1,finland_i_divisioona_a,1,finished
2026-04-09,Kipina,Karkkila,101,86,1,0.695652,0.304348,0.195652,1,finland_i_divisioona_a,1,finished
2026-04-06,Jyvaskyla,ACO Basket,89,91,0,0.155271,0.844729,0.344729,1,finland_i_divisioona_a,1,finished
