GAME_DATE_EST,HOME_TEAM_NAME,VISITOR_TEAM_NAME,PTS_home,PTS_away,HOME_TEAM_WINS,MARKET_PROB_home,MARKET_PROB_away,prob_margin,correct,league,accepted,STATUS
2026-04-30,Marburg W,Keltern W,,,,0.400531,0.599469,0.099469,,germany_dbbl_women,1,not_started
2026-05-03,Cathay Life W,Chunghua Telecom W,,,,0.889485,0.110515,0.389485,,taiwan_wsbl_women,1,not_started
2026-04-26,Kipina,ACO Basket,,,,0.44,0.56,0.06,,finland_i_divisioona_a,1,not_started
2026-05-09,Sheffield Hatters W,Oaklands Wolves W,,,,0.839046,0.160954,0.339046,,united_kingdom_slb_women,1,not_started
2026-01-29,Chun Lung,Able Hon Friends,,,,0.563003,0.436997,0.063003,,hong_kong_a1,1,not_started
2026-01-30,Kipas Istiklal,iLab Basketbol,,,,0.574124,0.425876,0.074124,,turkey_tbl,1,not_started
2026-01-30,Harem Spor,Ankara Kolejliler,,,,0.501377,0.498623,0.001377,,turkey_tbl,1,not_started
2026-05-09,Suduva-Mantinga,Neptunas 2,,,,0.777563,0.222437,0.277563,,lithuania_nkl,1,not_started
2026-06-07,Serbia 3x3,Latvia 3x3,,,,0.665049,0.334951,0.165049,,world_world_cup_3x3,1,not_started
2026-06-07,Germany 3x3,France 3x3,,,,0.575597,0.424403,0.075597,,world_world_cup_3x3,1,not_started
2026-02-02,Mykonos,AS Karditsas,,,,0.623711,0.376289,0.123711,,greece_greek_cup,1,not_started
2026-06-19,Monaco,Paris,,,,0.564304,0.435696,0.064304,,France Lnb,1,not_started
2026-05-03,Castello,Cordoba,,,,0.746392,0.253608,0.246392,,spain_segunda_feb,1,not_started
2026-06-19,Townsville Flames W,Cairns W,,,,0.448087,0.551913,0.051913,,Australia Nbl1 North Women,1,not_started
2026-01-28,UTSA Roadrunners W,North Texas W,,,,0.419437,0.580563,0.080563,,usa_ncaa_women,1,not_started
2026-01-28,Lafayette W,Bucknell W,,,,0.642157,0.357843,0.142157,,usa_ncaa_women,1,not_started
2026-01-29,UConn W,Xavier W,,,,0.985294,0.014706,0.485294,,usa_ncaa_women,1,not_started
