SnapshotAt,Date,Sport,SportId,League,Home,Away,EventId,CanonicalId,StartUtc,HomeOdds,DrawOdds,AwayOdds,Source,PublicBase
2026-07-25T12:00:03+02:00,2026-07-25,football,1,Russia. Premier League,Dynamo Moscow,Krylia Sovetov,734643703,345128836,2026-07-25T11:00:00+00:00,1.498,4.89,6.98,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
2026-07-25T12:00:03+02:00,2026-07-25,football,1,Russia. Premier League,Akron Tolyatti,Zenit Saint Petersburg,734643706,348882542,2026-07-25T13:15:00+00:00,8.55,5.19,1.416,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
2026-07-25T12:00:03+02:00,2026-07-25,football,1,Russia. Premier League,Fakel Voronezh,Dynamo Makhachkala,734643709,348882546,2026-07-25T15:30:00+00:00,2.718,3.0,3.18,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
2026-07-25T12:00:03+02:00,2026-07-25,football,1,Russia. Premier League,Spartak Moscow,Rodina Moscow,734643712,345128834,2026-07-25T17:45:00+00:00,1.376,5.65,8.95,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
2026-07-25T12:00:03+02:00,2026-07-25,football,1,Russia. Premier League,Home,Away,731552238,348890706,2026-07-25T11:00:00+00:00,1.596,7.7,3.2,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
2026-07-25T12:00:03+02:00,2026-07-25,football,1,UEFA Champions League. Women,Glentoran Belfast United (Women),Pyunik (Women),739010748,354108650,2026-07-25T11:00:00+00:00,1.28,5.25,7.7,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
2026-07-25T12:00:03+02:00,2026-07-25,football,1,UEFA Champions League. Women,P.A.O.K. (Women),Neftchi Baku (Women),738813075,353869846,2026-07-25T15:30:00+00:00,1.067,8.3,18.0,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
2026-07-25T12:00:03+02:00,2026-07-25,football,1,UEFA Champions League. Women,Spartak Myjava (Women),Mgarr United (Women),738813080,353869990,2026-07-25T17:00:00+00:00,1.36,4.7,6.49,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
2026-07-25T12:00:03+02:00,2026-07-25,football,1,UEFA Champions League. Women,KFF Mitrovica (Women),Ludogorets (Women),738805073,353870098,2026-07-25T18:00:00+00:00,1.73,3.78,3.865,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
2026-07-25T12:00:03+02:00,2026-07-25,football,1,Denmark. Superliga,AGF Aarhus,Brondby,733009543,346875622,2026-07-25T16:00:00+00:00,2.23,3.58,2.947,1XBET_PUBLIC_LINEFEED,https://q1ayxwi7tuwrn.bar
