Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-27,North Adelaide Rockets,South Adelaide Panthers,6.21,,1.09,current
2026-06-28,Woodville Warriors,North Adelaide Rockets,1.12,,4.55,current
2026-06-28,Sturt Sabres,Eastern Mavericks,1.14,,4.09,current
2026-06-28,West Adelaide Bearcats,Southern Tigers,1.15,,4.11,current
2026-06-28,South Adelaide Panthers,Central Districts Lions,1.57,,2.18,current
2026-06-28,Forestville Eagles,Norwood Flames,,,,current
2026-07-04,Norwood Flames,Eastern Mavericks,,,,current
2026-07-04,North Adelaide Rockets,Sturt Sabres,,,,current
2026-07-06,Woodville Warriors,Forestville Eagles,,,,current
2026-07-11,Sturt Sabres,West Adelaide Bearcats,,,,current
2026-07-11,Eastern Mavericks,South Adelaide Panthers,,,,current
2026-07-11,Central Districts Lions,Norwood Flames,,,,current
2026-07-11,Southern Tigers,Woodville Warriors,,,,current
