Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-28,Woodville Warriors W,North Adelaide Rockets W,1.37,,2.62,current
2026-06-28,Sturt Sabres W,Eastern Mavericks W,,,,current
2026-06-28,South Adelaide Panthers W,Central Districts Lions W,1.14,,4.19,current
2026-06-28,Forestville Eagles W,Norwood Flames W,1.27,,3.08,current
2026-07-04,Norwood Flames W,Eastern Mavericks W,,,,current
2026-07-04,North Adelaide Rockets W,Sturt Sabres W,,,,current
2026-07-06,Woodville Warriors W,Forestville Eagles W,,,,current
2026-07-11,Sturt Sabres W,West Adelaide Bearcats W,,,,current
2026-07-11,Eastern Mavericks W,South Adelaide Panthers W,,,,current
2026-07-11,Central Districts Lions W,Norwood Flames W,,,,current
