Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-28,Manly W.,Bankstown Bruins,1.62,,2.07,current
2026-07-04,Manly W.,Sutherland Sharks,,,,current
2026-07-04,Canberra,Norths Bears,,,,current
2026-07-04,Hills Hornets,Maitland M.,,,,current
2026-07-04,Central Coast Crusaders,Hornsby S.,,,,current
2026-07-04,Bankstown Bruins,Penrith P.,,,,current
2026-07-05,Penrith P.,Albury-Wodonga Bandits,,,,current
2026-07-05,Inner West Bulls,Sutherland Sharks,,,,current
2026-07-05,Illawarra Hawks 2,Sydney Comets,,,,current
2026-07-10,Norths Bears,Manly W.,,,,current
2026-07-11,Bankstown Bruins,Hills Hornets,,,,current
2026-07-11,Albury-Wodonga Bandits,Canberra,,,,current
2026-07-11,Inner West Bulls,Norths Bears,,,,current
2026-07-12,Newcastle Falcons,Hornsby S.,,,,current
2026-07-17,Sutherland Sharks,Penrith P.,,,,current
2026-07-18,Hornsby S.,Bankstown Bruins,,,,current
2026-07-18,Albury-Wodonga Bandits,Central Coast Crusaders,,,,current
2026-07-19,Maitland M.,Bankstown Bruins,,,,current
2026-07-19,Illawarra Hawks 2,Penrith P.,,,,current
