Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-28,Manly W. W,Bankstown Bruins W,1.69,,1.93,current
2026-07-04,Manly W. W,Sutherland Sharks W,,,,current
2026-07-04,Hills Hornets W,Maitland Mustangs W,,,,current
2026-07-04,Bankstown Bruins W,Penrith P. W,,,,current
2026-07-04,Canberra W,Norths Bears W,,,,current
2026-07-05,Penrith P. W,Albury W,,,,current
2026-07-05,Inner West Bulls W,Sutherland Sharks W,,,,current
2026-07-05,Illawarra Hawks W,Sydney Comets W,,,,current
2026-07-10,Norths Bears W,Manly W. W,,,,current
2026-07-11,Bankstown Bruins W,Hills Hornets W,,,,current
2026-07-11,Albury W,Canberra W,,,,current
2026-07-11,Inner West Bulls W,Norths Bears W,,,,current
2026-07-12,Newcastle Falcons W,Hornsby S. W,,,,current
2026-07-17,Sutherland Sharks W,Penrith P. W,,,,current
2026-07-18,Hornsby S. W,Bankstown Bruins W,,,,current
2026-07-18,Albury W,Central Coast W,,,,current
2026-07-19,Maitland Mustangs W,Bankstown Bruins W,,,,current
2026-07-19,Illawarra Hawks W,Penrith P. W,,,,current
