Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-28,North Gold Coast Seahawks,Logan Thunder,2.99,,1.30,current
2026-07-03,Brisbane Capitals,Sunshine Coast Phoenix,,,,current
2026-07-03,Mackay Meteors,Townsville Heat,,,,current
2026-07-04,Ipswich Force,Gold Coast Rollers,,,,current
2026-07-04,North Gold Coast Seahawks,Cairns Marlins,,,,current
2026-07-04,Logan Thunder,Northside Wizards,,,,current
2026-07-10,Cairns Marlins,Logan Thunder,,,,current
2026-07-11,Gold Coast Rollers,North Gold Coast Seahawks,,,,current
2026-07-11,Rockhampton Rockets,Sunshine Coast Phoenix,,,,current
2026-07-12,Mackay Meteors,Sunshine Coast Phoenix,,,,current
2026-07-12,Northside Wizards,Brisbane Capitals,,,,current
2026-07-12,Ipswich Force,North Gold Coast Seahawks,,,,current
2026-07-17,Cairns Marlins,Rockhampton Rockets,,,,current
2026-07-18,Brisbane Capitals,Southern District,,,,current
2026-07-18,Logan Thunder,Ipswich Force,,,,current
2026-07-19,Gold Coast Rollers,Mackay Meteors,,,,current
2026-07-19,Northside Wizards,North Gold Coast Seahawks,,,,current
