Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-28,North Gold Coast Seahawks W,Logan Thunder W,6.97,,1.04,current
2026-07-03,Brisbane Capitals W,Sunshine Coast Phoenix W,,,,current
2026-07-03,Mackay Meteorettes W,Townsville Flames W,,,,current
2026-07-04,Ipswich Force W,Gold Coast Rollers W,,,,current
2026-07-04,North Gold Coast Seahawks W,Cairns W,,,,current
2026-07-04,Logan Thunder W,Northside Wizards W,,,,current
2026-07-10,Cairns W,Logan Thunder W,,,,current
2026-07-11,Gold Coast Rollers W,North Gold Coast Seahawks W,,,,current
2026-07-11,Rockhampton W,Sunshine Coast Phoenix W,,,,current
2026-07-12,Mackay Meteorettes W,Sunshine Coast Phoenix W,,,,current
2026-07-12,Northside Wizards W,Brisbane Capitals W,,,,current
2026-07-12,Ipswich Force W,North Gold Coast Seahawks W,,,,current
2026-07-17,Cairns W,Rockhampton W,,,,current
2026-07-18,Brisbane Capitals W,Southern District Spartans W,,,,current
2026-07-18,Logan Thunder W,Ipswich Force W,,,,current
2026-07-19,Gold Coast Rollers W,Mackay Meteorettes W,,,,current
2026-07-19,Northside Wizards W,North Gold Coast Seahawks W,,,,current
