Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-28,Melbourne Tigers,Dandenong,1.50,,2.31,current
2026-06-28,Nunawading,Mt Gambier,1.30,,3.00,current
2026-06-30,Ringwood,Frankston,,,,current
2026-07-02,Ringwood,Kilsyth,,,,current
2026-07-03,Hobart Chargers,Melbourne Tigers,,,,current
2026-07-03,Mt Gambier,Knox,,,,current
2026-07-04,Kilsyth,Casey Cavaliers,,,,current
2026-07-04,Diamond Valley,Nunawading,,,,current
2026-07-04,Mt Gambier,Bendigo Braves,,,,current
2026-07-05,Dandenong,Ballarat,,,,current
2026-07-05,Geelong,Diamond Valley,,,,current
2026-07-05,Waverley,Frankston,,,,current
2026-07-09,Kilsyth,Nunawading,,,,current
2026-07-10,Casey Cavaliers,Dandenong,,,,current
2026-07-11,Geelong,Ringwood,,,,current
2026-07-11,Diamond Valley,Frankston,,,,current
2026-07-12,Ringwood,Bendigo Braves,,,,current
2026-07-17,Bendigo Braves,Keilor Thunder,,,,current
2026-07-18,Geelong,Hobart Chargers,,,,current
2026-07-18,Casey Cavaliers,Northern Tasmania,,,,current
2026-07-18,Diamond Valley,Dandenong,,,,current
2026-07-18,Waverley,Ringwood,,,,current
