Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-28,Melbourne Tigers W,Dandenong Rangers W,,,,current
2026-06-28,Nunawading W,Mt. Gambier W,2.14,,1.56,current
2026-06-30,Ringwood W,Frankston W,,,,current
2026-07-02,Ringwood W,Kilsyth W,,,,current
2026-07-03,Hobart Chargers W,Melbourne Tigers W,,,,current
2026-07-03,Mt. Gambier W,Knox W,,,,current
2026-07-04,Kilsyth W,Casey Cavaliers W,,,,current
2026-07-04,Diamond Valley W,Nunawading W,,,,current
2026-07-04,Mt. Gambier W,Bendigo Braves W,,,,current
2026-07-05,Dandenong Rangers W,Ballarat W,,,,current
2026-07-05,Geelong W,Diamond Valley W,,,,current
2026-07-05,Waverley W,Frankston W,,,,current
2026-07-09,Kilsyth W,Nunawading W,,,,current
2026-07-10,Casey Cavaliers W,Dandenong Rangers W,,,,current
2026-07-11,Geelong W,Ringwood W,,,,current
2026-07-11,Diamond Valley W,Frankston W,,,,current
2026-07-12,Ringwood W,Bendigo Braves W,,,,current
2026-07-17,Bendigo Braves W,Keilor Thunder W,,,,current
2026-07-18,Geelong W,Hobart Chargers W,,,,current
2026-07-18,Casey Cavaliers W,Northern Tasmania W,,,,current
2026-07-18,Diamond Valley W,Dandenong Rangers W,,,,current
2026-07-18,Waverley W,Ringwood W,,,,current
