Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-27,Joondalup Wolves,Perry Lakes Hawks,1.25,,3.54,current
2026-06-27,Beeliar Boodjar,Kalamunda Eastern Suns,1.28,,3.31,current
2026-06-27,Goldfields Giants,East Perth Eagles,3.16,,1.32,current
2026-07-03,Beeliar Boodjar,Mandurah Magic,,,,current
2026-07-03,East Perth Eagles,South West Slammers,,,,current
2026-07-04,Geraldton Buccaneers,Rockingham Flames,,,,current
2026-07-04,Lakeside Lightning,Goldfields Giants,,,,current
2026-07-05,Kalamunda Eastern Suns,Goldfields Giants,,,,current
2026-07-05,Geraldton Buccaneers,Willetton Tigers,,,,current
2026-07-09,East Perth Eagles,Lakeside Lightning,,,,current
2026-07-10,Kalamunda Eastern Suns,Perth Redbacks,,,,current
2026-07-11,Beeliar Boodjar,Geraldton Buccaneers,,,,current
2026-07-11,Joondalup Wolves,Rockingham Flames,,,,current
2026-07-11,Goldfields Giants,Perry Lakes Hawks,,,,current
2026-07-12,Warwick Senators,Geraldton Buccaneers,,,,current
2026-07-17,Perry Lakes Hawks,Beeliar Boodjar,,,,current
2026-07-17,South West Slammers,Kalamunda Eastern Suns,,,,current
2026-07-18,Geraldton Buccaneers,East Perth Eagles,,,,current
2026-07-18,Beeliar Boodjar,Perth Redbacks,,,,current
2026-07-18,Goldfields Giants,Joondalup Wolves,,,,current
2026-07-24,Willetton Tigers,Kalamunda Eastern Suns,,,,current
2026-07-24,East Perth Eagles,Beeliar Boodjar,,,,current
2026-07-25,Perry Lakes Hawks,Geraldton Buccaneers,,,,current
2026-07-25,Warwick Senators,Goldfields Giants,,,,current
