Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-07-03,Cockburn Cougars W,Mandurah Magic W,,,,current
2026-07-03,East Perth Eagles W,South West Slammers W,,,,current
2026-07-04,Perth Redbacks W,Perry Lakes Hawks W,,,,current
2026-07-04,Lakeside Lightning W,Goldfields Giants W,,,,current
2026-07-05,Kalamunda Eastern Suns W,Goldfields Giants W,,,,current
2026-07-09,East Perth Eagles W,Lakeside Lightning W,,,,current
2026-07-10,Kalamunda Eastern Suns W,Perth Redbacks W,,,,current
2026-07-11,Joondalup Wolves W,Rockingham Flames W,,,,current
2026-07-11,Goldfields Giants W,Perry Lakes Hawks W,,,,current
2026-07-17,Perry Lakes Hawks W,Cockburn Cougars W,,,,current
2026-07-17,South West Slammers W,Kalamunda Eastern Suns W,,,,current
2026-07-18,Mandurah Magic W,Perry Lakes Hawks W,,,,current
2026-07-18,Cockburn Cougars W,Perth Redbacks W,,,,current
2026-07-18,Goldfields Giants W,Joondalup Wolves W,,,,current
2026-07-24,Willetton Tigers W,Kalamunda Eastern Suns W,,,,current
2026-07-24,East Perth Eagles W,Cockburn Cougars W,,,,current
2026-07-25,Warwick Senators W,Goldfields Giants W,,,,current
