Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-28,Scarborough Shooting Stars,Brampton Honey Badgers,1.21,,4.01,current
2026-06-28,Vancouver Bandits,Winnipeg Sea Bears,1.52,,2.37,current
2026-06-28,Ottawa Blackjacks,Niagara River Lions,,,,current
2026-06-29,Edmonton Stingers,Saskatoon Mamba,,,,current
2026-07-01,Winnipeg Sea Bears,Saskatoon Mamba,,,,current
2026-07-01,Scarborough Shooting Stars,Montreal Alliance,,,,current
2026-07-02,Edmonton Stingers,Calgary Surge,,,,current
2026-07-03,Brampton Honey Badgers,Ottawa Blackjacks,,,,current
2026-07-04,Montreal Alliance,Scarborough Shooting Stars,,,,current
2026-07-04,Saskatoon Mamba,Calgary Surge,,,,current
2026-07-04,Vancouver Bandits,Edmonton Stingers,,,,current
2026-07-05,Niagara River Lions,Ottawa Blackjacks,,,,current
2026-07-05,Vancouver Bandits,Calgary Surge,,,,current
2026-07-05,Brampton Honey Badgers,Scarborough Shooting Stars,,,,current
2026-07-06,Edmonton Stingers,Winnipeg Sea Bears,,,,current
2026-07-08,Saskatoon Mamba,Vancouver Bandits,,,,current
2026-07-09,Ottawa Blackjacks,Montreal Alliance,,,,current
2026-07-10,Winnipeg Sea Bears,Edmonton Stingers,,,,current
2026-07-10,Calgary Surge,Vancouver Bandits,,,,current
2026-07-11,Niagara River Lions,Scarborough Shooting Stars,,,,current
2026-07-11,Montreal Alliance,Brampton Honey Badgers,,,,current
2026-07-12,Edmonton Stingers,Vancouver Bandits,,,,current
2026-07-12,Niagara River Lions,Montreal Alliance,,,,current
2026-07-12,Winnipeg Sea Bears,Calgary Surge,,,,current
2026-07-12,Ottawa Blackjacks,Brampton Honey Badgers,,,,current
2026-07-14,Brampton Honey Badgers,Niagara River Lions,,,,current
2026-07-16,Saskatoon Mamba,Winnipeg Sea Bears,,,,current
2026-07-17,Niagara River Lions,Brampton Honey Badgers,,,,current
2026-07-17,Scarborough Shooting Stars,Edmonton Stingers,,,,current
2026-07-18,Calgary Surge,Winnipeg Sea Bears,,,,current
2026-07-18,Vancouver Bandits,Montreal Alliance,,,,current
2026-07-18,Niagara River Lions,Edmonton Stingers,,,,current
2026-07-19,Scarborough Shooting Stars,Ottawa Blackjacks,,,,current
2026-07-19,Winnipeg Sea Bears,Montreal Alliance,,,,current
2026-07-20,Calgary Surge,Saskatoon Mamba,,,,current
2026-07-22,Calgary Surge,Vancouver Bandits,,,,current
2026-07-23,Ottawa Blackjacks,Scarborough Shooting Stars,,,,current
2026-07-24,Winnipeg Sea Bears,Vancouver Bandits,,,,current
2026-07-24,Saskatoon Mamba,Brampton Honey Badgers,,,,current
2026-07-25,Montreal Alliance,Ottawa Blackjacks,,,,current
2026-07-25,Calgary Surge,Edmonton Stingers,,,,current
2026-07-25,Winnipeg Sea Bears,Brampton Honey Badgers,,,,current
2026-07-26,Vancouver Bandits,Saskatoon Mamba,,,,current
2026-07-26,Niagara River Lions,Ottawa Blackjacks,,,,current
2026-07-26,Scarborough Shooting Stars,Montreal Alliance,,,,current
2026-07-27,Edmonton Stingers,Calgary Surge,,,,current
2026-07-29,Montreal Alliance,Vancouver Bandits,,,,current
2026-07-30,Saskatoon Mamba,Niagara River Lions,,,,current
2026-07-31,Brampton Honey Badgers,Montreal Alliance,,,,current
2026-08-01,Winnipeg Sea Bears,Ottawa Blackjacks,,,,current
2026-08-01,Edmonton Stingers,Saskatoon Mamba,,,,current
2026-08-01,Calgary Surge,Niagara River Lions,,,,current
2026-08-02,Brampton Honey Badgers,Scarborough Shooting Stars,,,,current
2026-08-02,Vancouver Bandits,Winnipeg Sea Bears,,,,current
2026-08-03,Edmonton Stingers,Ottawa Blackjacks,,,,current
2026-08-03,Scarborough Shooting Stars,Brampton Honey Badgers,,,,current
2026-08-04,Saskatoon Mamba,Calgary Surge,,,,current
