Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-28,Canterbury Rams,Bay Hawks,1.05,,7.33,current
2026-06-28,Nelson Giants,Auckland Tuatara,4.57,,1.15,current
2026-07-01,Southland Sharks,Canterbury Rams,,,,current
2026-07-02,Bay Hawks,Taranaki Airs,,,,current
2026-07-03,Canterbury Rams,Manawatu Jets,,,,current
2026-07-04,Tauranga Whai,Auckland Tuatara,,,,current
2026-07-04,Otago Nuggets,Wellington Saints,,,,current
2026-07-05,Nelson Giants,Franklin Bulls,,,,current
2026-07-09,Canterbury Rams,Taranaki Airs,,,,current
2026-07-10,Franklin Bulls,Otago Nuggets,,,,current
2026-07-10,Tauranga Whai,Wellington Saints,,,,current
2026-07-11,Manawatu Jets,Bay Hawks,,,,current
2026-07-11,Southland Sharks,Nelson Giants,,,,current
2026-07-12,Wellington Saints,Canterbury Rams,,,,current
2026-07-12,Auckland Tuatara,Otago Nuggets,,,,current
2026-07-13,Manawatu Jets,Nelson Giants,,,,current
2026-07-15,Taranaki Airs,Nelson Giants,,,,current
2026-07-16,Otago Nuggets,Bay Hawks,,,,current
2026-07-17,Auckland Tuatara,Manawatu Jets,,,,current
2026-07-18,Southland Sharks,Bay Hawks,,,,current
2026-07-18,Wellington Saints,Tauranga Whai,,,,current
2026-07-19,Canterbury Rams,Auckland Tuatara,,,,current
2026-07-19,Franklin Bulls,Taranaki Airs,,,,current
2026-07-22,Tauranga Whai,Otago Nuggets,,,,current
2026-07-23,Bay Hawks,Wellington Saints,,,,current
2026-07-24,Manawatu Jets,Franklin Bulls,,,,current
2026-07-25,Wellington Saints,Southland Sharks,,,,current
2026-07-25,Nelson Giants,Tauranga Whai,,,,current
2026-07-26,Auckland Tuatara,Taranaki Airs,,,,current
2026-07-26,Canterbury Rams,Franklin Bulls,,,,current
