Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-27,LA Riot,Power,1.37,,2.85,current
2026-06-27,Detroit Amps,Miami 305,2.69,,1.42,current
2026-06-28,Houston Rig Hands,Ball Hogs,1.57,,2.26,current
2026-06-28,Trilogy,Triplets,2.26,,1.57,current
2026-07-05,LA Riot,Ball Hogs,,,,current
2026-07-05,Miami 305,Triplets,,,,current
2026-07-05,Trilogy,Houston Rig Hands,,,,current
2026-07-05,Power,Detroit Amps,,,,current
2026-07-12,Miami 305,Houston Rig Hands,,,,current
2026-07-12,LA Riot,Detroit Amps,,,,current
2026-07-13,Trilogy,Power,,,,current
2026-07-13,Triplets,Ball Hogs,,,,current
2026-07-19,Detroit Amps,Houston Rig Hands,,,,current
2026-07-19,Triplets,LA Riot,,,,current
2026-07-19,Trilogy,Ball Hogs,,,,current
2026-07-19,Power,Miami 305,,,,current
2026-07-24,Ball Hogs,LA Riot,,,,current
2026-07-24,Detroit Amps,Triplets,,,,current
2026-07-26,Trilogy,Miami 305,,,,current
2026-07-26,Houston Rig Hands,Power,,,,current
2026-08-01,Detroit Amps,Power,,,,current
2026-08-01,Miami 305,Ball Hogs,,,,current
2026-08-02,Trilogy,Triplets,,,,current
2026-08-02,LA Riot,Houston Rig Hands,,,,current
2026-08-07,LA Riot,Trilogy,,,,current
2026-08-07,Houston Rig Hands,Miami 305,,,,current
2026-08-09,Power,Triplets,,,,current
2026-08-09,Ball Hogs,Detroit Amps,,,,current
