Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-06-27,Toronto Tempo W,Phoenix Mercury W,1.43,,2.81,current
2026-06-28,Indiana Fever W,Los Angeles Sparks W,1.37,,3.03,current
2026-06-28,Seattle Storm W,Atlanta Dream W,3.90,,1.24,current
2026-06-28,Dallas Wings W,Minnesota Lynx W,2.33,,1.59,current
2026-06-28,Washington Mystics W,Portland Fire W,,,,current
2026-06-28,Chicago Sky W,Las Vegas Aces W,,,,current
2026-06-29,Golden State Valkyries W,New York Liberty W,,,,current
2026-07-03,Washington Mystics W,Atlanta Dream W,,,,current
2026-07-03,Connecticut Sun W,Dallas Wings W,,,,current
2026-07-03,Phoenix Mercury W,Seattle Storm W,,,,current
2026-07-04,New York Liberty W,Minnesota Lynx W,,,,current
2026-07-04,Las Vegas Aces W,Chicago Sky W,,,,current
2026-07-04,Atlanta Dream W,Golden State Valkyries W,,,,current
2026-07-05,Seattle Storm W,Portland Fire W,,,,current
2026-07-05,Toronto Tempo W,Dallas Wings W,,,,current
2026-07-06,Las Vegas Aces W,Indiana Fever W,,,,current
2026-07-07,Washington Mystics W,Golden State Valkyries W,,,,current
2026-07-07,Minnesota Lynx W,Connecticut Sun W,,,,current
2026-07-07,Los Angeles Sparks W,Seattle Storm W,,,,current
2026-07-08,New York Liberty W,Dallas Wings W,,,,current
2026-07-08,Phoenix Mercury W,Chicago Sky W,,,,current
2026-07-09,Toronto Tempo W,Golden State Valkyries W,,,,current
2026-07-09,Connecticut Sun W,Minnesota Lynx W,,,,current
2026-07-09,Los Angeles Sparks W,Indiana Fever W,,,,current
2026-07-10,Atlanta Dream W,Seattle Storm W,,,,current
2026-07-10,Phoenix Mercury W,Indiana Fever W,,,,current
2026-07-11,Connecticut Sun W,Golden State Valkyries W,,,,current
2026-07-11,Los Angeles Sparks W,Chicago Sky W,,,,current
2026-07-11,Minnesota Lynx W,New York Liberty W,,,,current
2026-07-11,Atlanta Dream W,Portland Fire W,,,,current
2026-07-12,Las Vegas Aces W,Phoenix Mercury W,,,,current
2026-07-12,Toronto Tempo W,New York Liberty W,,,,current
2026-07-13,Dallas Wings W,Chicago Sky W,,,,current
2026-07-13,Las Vegas Aces W,Indiana Fever W,,,,current
2026-07-14,Atlanta Dream W,Los Angeles Sparks W,,,,current
2026-07-14,Minnesota Lynx W,Phoenix Mercury W,,,,current
2026-07-14,Connecticut Sun W,Portland Fire W,,,,current
2026-07-15,Toronto Tempo W,Washington Mystics W,,,,current
2026-07-15,Chicago Sky W,Seattle Storm W,,,,current
2026-07-15,Minnesota Lynx W,Los Angeles Sparks W,,,,current
2026-07-16,Indiana Fever W,Golden State Valkyries W,,,,current
2026-07-17,Washington Mystics W,Portland Fire W,,,,current
2026-07-17,Dallas Wings W,New York Liberty W,,,,current
2026-07-18,Chicago Sky W,Los Angeles Sparks W,,,,current
2026-07-18,Phoenix Mercury W,Connecticut Sun W,,,,current
2026-07-19,Indiana Fever W,New York Liberty W,,,,current
2026-07-19,Golden State Valkyries W,Washington Mystics W,,,,current
2026-07-19,Dallas Wings W,Los Angeles Sparks W,,,,current
2026-07-19,Atlanta Dream W,Chicago Sky W,,,,current
2026-07-20,Phoenix Mercury W,Connecticut Sun W,,,,current
2026-07-21,Toronto Tempo W,Las Vegas Aces W,,,,current
2026-07-21,Golden State Valkyries W,Washington Mystics W,,,,current
2026-07-22,Los Angeles Sparks W,Phoenix Mercury W,,,,current
2026-07-23,New York Liberty W,Chicago Sky W,,,,current
2026-07-23,Washington Mystics W,Las Vegas Aces W,,,,current
2026-07-23,Indiana Fever W,Connecticut Sun W,,,,current
2026-07-23,Portland Fire W,Dallas Wings W,,,,current
2026-07-29,Washington Mystics W,Connecticut Sun W,,,,current
2026-07-29,Minnesota Lynx W,Toronto Tempo W,,,,current
2026-07-29,Seattle Storm W,Indiana Fever W,,,,current
2026-07-29,Las Vegas Aces W,Portland Fire W,,,,current
2026-07-30,Dallas Wings W,Atlanta Dream W,,,,current
2026-07-30,Phoenix Mercury W,Golden State Valkyries W,,,,current
2026-07-31,Toronto Tempo W,Minnesota Lynx W,,,,current
2026-07-31,Chicago Sky W,Connecticut Sun W,,,,current
2026-07-31,Las Vegas Aces W,New York Liberty W,,,,current
2026-08-01,Atlanta Dream W,Seattle Storm W,,,,current
2026-08-01,Portland Fire W,Indiana Fever W,,,,current
2026-08-01,Chicago Sky W,Las Vegas Aces W,,,,current
2026-08-01,Phoenix Mercury W,New York Liberty W,,,,current
2026-08-02,Minnesota Lynx W,Indiana Fever W,,,,current
2026-08-02,Portland Fire W,Los Angeles Sparks W,,,,current
2026-08-03,Dallas Wings W,Connecticut Sun W,,,,current
2026-08-03,Golden State Valkyries W,Toronto Tempo W,,,,current
2026-08-04,New York Liberty W,Seattle Storm W,,,,current
2026-08-04,Atlanta Dream W,Las Vegas Aces W,,,,current
2026-08-04,Chicago Sky W,Phoenix Mercury W,,,,current
2026-08-05,Golden State Valkyries W,Toronto Tempo W,,,,current
2026-08-06,Atlanta Dream W,Phoenix Mercury W,,,,current
2026-08-06,Washington Mystics W,Dallas Wings W,,,,current
2026-08-06,Chicago Sky W,Los Angeles Sparks W,,,,current
2026-08-07,Indiana Fever W,Las Vegas Aces W,,,,current
2026-08-07,Minnesota Lynx W,Los Angeles Sparks W,,,,current
2026-08-07,Portland Fire W,Toronto Tempo W,,,,current
2026-08-08,Connecticut Sun W,Phoenix Mercury W,,,,current
2026-08-08,Dallas Wings W,Golden State Valkyries W,,,,current
2026-08-08,Minnesota Lynx W,Las Vegas Aces W,,,,current
2026-08-08,Chicago Sky W,Indiana Fever W,,,,current
2026-08-09,Portland Fire W,Seattle Storm W,,,,current
2026-08-09,New York Liberty W,Las Vegas Aces W,,,,current
2026-08-09,Washington Mystics W,Phoenix Mercury W,,,,current
2026-08-09,Minnesota Lynx W,Dallas Wings W,,,,current
2026-08-10,Los Angeles Sparks W,Golden State Valkyries W,,,,current
2026-08-11,Atlanta Dream W,Toronto Tempo W,,,,current
2026-08-11,Seattle Storm W,Chicago Sky W,,,,current
2026-08-12,Indiana Fever W,New York Liberty W,,,,current
2026-08-12,Las Vegas Aces W,Washington Mystics W,,,,current
2026-08-13,Dallas Wings W,Toronto Tempo W,,,,current
2026-08-13,Golden State Valkyries W,Chicago Sky W,,,,current
2026-08-14,Connecticut Sun W,Atlanta Dream W,,,,current
2026-08-14,New York Liberty W,Los Angeles Sparks W,,,,current
2026-08-14,Las Vegas Aces W,Washington Mystics W,,,,current
2026-08-15,Indiana Fever W,Dallas Wings W,,,,current
2026-08-15,Seattle Storm W,Portland Fire W,,,,current
2026-08-15,Connecticut Sun W,New York Liberty W,,,,current
2026-08-16,Washington Mystics W,Los Angeles Sparks W,,,,current
2026-08-16,Las Vegas Aces W,Minnesota Lynx W,,,,current
2026-08-16,Atlanta Dream W,Indiana Fever W,,,,current
2026-08-17,Phoenix Mercury W,Portland Fire W,,,,current
2026-08-18,Golden State Valkyries W,Dallas Wings W,,,,current
2026-08-19,Connecticut Sun W,Los Angeles Sparks W,,,,current
2026-08-19,Chicago Sky W,New York Liberty W,,,,current
2026-08-19,Las Vegas Aces W,Atlanta Dream W,,,,current
2026-08-20,Washington Mystics W,Toronto Tempo W,,,,current
2026-08-20,Golden State Valkyries W,Minnesota Lynx W,,,,current
2026-08-21,Dallas Wings W,Indiana Fever W,,,,current
2026-08-21,Las Vegas Aces W,Connecticut Sun W,,,,current
2026-08-22,Chicago Sky W,Golden State Valkyries W,,,,current
2026-08-22,Toronto Tempo W,Portland Fire W,,,,current
2026-08-23,New York Liberty W,Indiana Fever W,,,,current
2026-08-23,Los Angeles Sparks W,Connecticut Sun W,,,,current
2026-08-23,Phoenix Mercury W,Atlanta Dream W,,,,current
2026-08-23,Dallas Wings W,Seattle Storm W,,,,current
2026-08-24,Chicago Sky W,Indiana Fever W,,,,current
2026-08-25,Minnesota Lynx W,Golden State Valkyries W,,,,current
2026-08-25,Los Angeles Sparks W,Atlanta Dream W,,,,current
2026-08-26,Connecticut Sun W,Chicago Sky W,,,,current
2026-08-26,Dallas Wings W,Portland Fire W,,,,current
2026-08-26,Phoenix Mercury W,Washington Mystics W,,,,current
2026-08-27,Connecticut Sun W,Golden State Valkyries W,,,,current
2026-08-27,Seattle Storm W,Toronto Tempo W,,,,current
2026-08-28,New York Liberty W,Golden State Valkyries W,,,,current
2026-08-28,Phoenix Mercury W,Washington Mystics W,,,,current
2026-08-29,Atlanta Dream W,Portland Fire W,,,,current
2026-08-29,Las Vegas Aces W,Toronto Tempo W,,,,current
2026-08-29,New York Liberty W,Chicago Sky W,,,,current
2026-08-30,Phoenix Mercury W,Toronto Tempo W,,,,current
2026-08-30,Atlanta Dream W,Minnesota Lynx W,,,,current
2026-08-30,Seattle Storm W,Los Angeles Sparks W,,,,current
2026-08-31,Portland Fire W,Golden State Valkyries W,,,,current
2026-08-31,Dallas Wings W,Connecticut Sun W,,,,current
2026-09-18,Atlanta Dream W,Connecticut Sun W,,,,current
2026-09-18,Chicago Sky W,Washington Mystics W,,,,current
2026-09-18,Portland Fire W,Phoenix Mercury W,,,,current
2026-09-19,Minnesota Lynx W,New York Liberty W,,,,current
2026-09-19,Golden State Valkyries W,Portland Fire W,,,,current
2026-09-19,Dallas Wings W,Phoenix Mercury W,,,,current
2026-09-20,Atlanta Dream W,Chicago Sky W,,,,current
2026-09-20,Golden State Valkyries W,Seattle Storm W,,,,current
2026-09-20,Connecticut Sun W,Minnesota Lynx W,,,,current
2026-09-20,Toronto Tempo W,New York Liberty W,,,,current
2026-09-20,Indiana Fever W,Washington Mystics W,,,,current
2026-09-21,Los Angeles Sparks W,Portland Fire W,,,,current
2026-09-21,Las Vegas Aces W,Seattle Storm W,,,,current
2026-09-22,New York Liberty W,Atlanta Dream W,,,,current
2026-09-22,Phoenix Mercury W,Dallas Wings W,,,,current
2026-09-23,Washington Mystics W,Connecticut Sun W,,,,current
2026-09-23,Chicago Sky W,Toronto Tempo W,,,,current
2026-09-23,Las Vegas Aces W,Los Angeles Sparks W,,,,current
2026-09-24,New York Liberty W,Atlanta Dream W,,,,current
