Date,HomeTeam,AwayTeam,OddH,OddD,OddA,Season
2026-07-02,Libya,South Sudan,,,,current
2026-07-02,Cape Verde,Cameroon,,,,current
2026-07-04,South Sudan,Cape Verde,,,,current
2026-07-04,Cameroon,Libya,,,,current
2026-07-05,Cape Verde,Libya,,,,current
2026-07-05,South Sudan,Cameroon,,,,current
2026-07-02,Madagascar,D.R. Congo,,,,current
2026-07-02,Ivory Coast,Senegal,,,,current
2026-07-04,D.R. Congo,Ivory Coast,,,,current
2026-07-04,Senegal,Madagascar,,,,current
2026-07-05,Ivory Coast,Madagascar,,,,current
2026-07-05,D.R. Congo,Senegal,,,,current
2026-07-02,Guinea,Rwanda,,,,current
2026-07-02,Tunisia,Nigeria,,,,current
2026-07-03,Nigeria,Guinea,,,,current
2026-07-03,Rwanda,Tunisia,,,,current
2026-07-05,Rwanda,Nigeria,,,,current
2026-07-05,Tunisia,Guinea,,,,current
2026-07-02,Egypt,Mali,,,,current
2026-07-02,Uganda,Angola,,,,current
2026-07-04,Mali,Uganda,,,,current
2026-07-04,Angola,Egypt,,,,current
2026-07-05,Egypt,Uganda,,,,current
2026-07-05,Angola,Mali,,,,current
