Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Central Districts Lions,Forestville Eagles,80,106,4.91,,1.14,current
2026-06-27,Eastern Mavericks,Woodville Warriors,90,72,3.05,,1.33,current
2026-06-27,Norwood Flames,West Adelaide Bearcats,71,102,2.79,,1.38,current
2026-06-27,Southern Tigers,Sturt Sabres,67,91,4.84,,1.14,current
2026-06-21,Norwood Flames,South Adelaide Panthers,89,79,3.35,,1.28,current
2026-06-20,Eastern Mavericks,Central Districts Lions,75,82,2.64,,1.43,current
2026-06-20,Forestville Eagles,West Adelaide Bearcats,116,84,1.04,,8.38,current
2026-06-20,Southern Tigers,North Adelaide Rockets,101,114,1.94,,1.76,current
2026-06-20,Sturt Sabres,Woodville Warriors,56,74,1.88,,1.85,current
2026-06-13,Forestville Eagles,Southern Tigers,113,81,1.02,,11.18,current
2026-06-13,North Adelaide Rockets,Central Districts Lions,87,90,3.23,,1.30,current
2026-06-13,Norwood Flames,Sturt Sabres,67,74,3.28,,1.29,current
2026-06-13,South Adelaide Panthers,Woodville Warriors,91,79,1.46,,2.54,current
2026-06-13,West Adelaide Bearcats,Eastern Mavericks,103,81,1.31,,3.13,current
2026-05-31,Eastern Mavericks,North Adelaide Rockets,105,93,1.24,,3.59,current
2026-05-31,Norwood Flames,Southern Tigers,102,92,1.23,,3.74,current
2026-05-31,Sturt Sabres,Central Districts Lions,84,81,1.26,,3.52,current
2026-05-31,Woodville Warriors,West Adelaide Bearcats,97,95,1.54,,2.33,current
2026-05-30,Central Districts Lions,Woodville Warriors,80,77,1.75,,1.96,current
2026-05-30,Forestville Eagles,Sturt Sabres,95,76,1.20,,3.95,current
2026-05-30,North Adelaide Rockets,Norwood Flames,104,75,2.44,,1.49,current
2026-05-30,West Adelaide Bearcats,South Adelaide Panthers,87,97,1.71,,2.02,current
2026-05-23,Central Districts Lions,Southern Tigers,113,86,1.33,,3.04,current
2026-05-23,Forestville Eagles,Eastern Mavericks,99,91,1.03,,9.12,current
2026-05-23,South Adelaide Panthers,Sturt Sabres,103,79,3.07,,1.33,current
2026-05-23,West Adelaide Bearcats,North Adelaide Rockets,129,92,1.07,,6.87,current
2026-05-23,Woodville Warriors,Norwood Flames,73,84,1.51,,2.39,current
2026-05-09,North Adelaide Rockets,Forestville Eagles,78,109,8.19,,1.05,current
2026-05-09,Norwood Flames,Central Districts Lions,87,88,2.16,,1.62,current
2026-05-09,South Adelaide Panthers,Eastern Mavericks,108,89,1.26,,4.64,current
2026-05-09,West Adelaide Bearcats,Sturt Sabres,90,94,7.58,,1.05,current
2026-05-09,Woodville Warriors,Southern Tigers,105,82,1.08,,6.54,current
2026-05-02,Central Districts Lions,North Adelaide Rockets,92,98,1.11,,5.54,current
2026-05-02,Eastern Mavericks,West Adelaide Bearcats,101,85,2.01,,1.73,current
2026-05-02,Southern Tigers,Forestville Eagles,84,98,9.95,,1.02,current
2026-05-02,Woodville Warriors,South Adelaide Panthers,97,107,1.69,,2.05,current
2026-04-26,South Adelaide Panthers,North Adelaide Rockets,112,90,1.13,,5.19,current
2026-04-26,Woodville Warriors,Eastern Mavericks,96,69,1.11,,5.63,current
