Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Central Districts Lions W,Forestville Eagles W,74,82,3.81,,1.21,current
2026-06-27,Eastern Mavericks W,Woodville Warriors W,57,84,8.97,,1.03,current
2026-06-27,North Adelaide Rockets W,South Adelaide Panthers W,63,71,1.78,,1.92,current
2026-06-27,Norwood Flames W,West Adelaide Bearcats W,78,83,12.42,,1.01,current
2026-06-27,Southern Tigers W,Sturt Sabres W,48,95,6.09,,1.09,current
2026-06-21,Norwood Flames W,South Adelaide Panthers W,81,68,1.41,,2.69,current
2026-06-20,Eastern Mavericks W,Central Districts Lions W,84,92,3.59,,1.24,current
2026-06-20,Forestville Eagles W,West Adelaide Bearcats W,89,79,16.03,,1.01,current
2026-06-20,Southern Tigers W,North Adelaide Rockets W,65,68,1.56,,2.27,current
2026-06-13,Forestville Eagles W,Southern Tigers W,63,70,1.28,,3.58,current
2026-06-13,North Adelaide Rockets W,Central Districts Lions W,90,82,1.41,,2.69,current
2026-06-13,Norwood Flames W,Sturt Sabres W,85,74,2.91,,1.40,current
2026-06-13,South Adelaide Panthers W,Woodville Warriors W,87,78,1.68,,2.04,current
2026-06-13,West Adelaide Bearcats W,Eastern Mavericks W,120,49,1.00,,16.20,current
2026-05-31,Eastern Mavericks W,North Adelaide Rockets W,75,101,6.01,,1.08,current
2026-05-31,Norwood Flames W,Southern Tigers W,78,70,1.39,,2.75,current
2026-05-31,South Adelaide Panthers W,Forestville Eagles W,76,104,4.02,,1.20,current
2026-05-31,Sturt Sabres W,Central Districts Lions W,75,62,1.00,,15.97,current
2026-05-31,Woodville Warriors W,West Adelaide Bearcats W,76,113,16.33,,1.00,current
2026-05-30,Central Districts Lions W,Woodville Warriors W,100,92,4.92,,1.14,current
2026-05-30,Forestville Eagles W,Sturt Sabres W,63,68,2.81,,1.37,current
2026-05-30,North Adelaide Rockets W,Norwood Flames W,68,79,3.06,,1.32,current
2026-05-30,Southern Tigers W,Eastern Mavericks W,78,63,1.02,,10.09,current
2026-05-30,West Adelaide Bearcats W,South Adelaide Panthers W,99,49,1.00,,15.40,current
2026-05-23,Central Districts Lions W,Southern Tigers W,71,76,2.81,,1.38,current
2026-05-23,Forestville Eagles W,Eastern Mavericks W,94,60,1.00,,19.00,current
2026-05-23,South Adelaide Panthers W,Sturt Sabres W,55,79,3.72,,1.23,current
2026-05-23,West Adelaide Bearcats W,North Adelaide Rockets W,105,42,1.00,,17.00,current
2026-05-23,Woodville Warriors W,Norwood Flames W,101,96,1.39,,2.77,current
2026-05-09,North Adelaide Rockets W,Forestville Eagles W,60,78,8.28,,1.04,current
2026-05-09,Norwood Flames W,Central Districts Lions W,75,58,1.22,,3.75,current
2026-05-09,South Adelaide Panthers W,Eastern Mavericks W,100,56,1.02,,11.09,current
2026-05-09,West Adelaide Bearcats W,Sturt Sabres W,93,66,1.06,,7.14,current
2026-05-09,Woodville Warriors W,Southern Tigers W,84,64,1.14,,4.79,current
2026-05-02,Central Districts Lions W,North Adelaide Rockets W,80,73,2.11,,1.66,current
2026-05-02,Eastern Mavericks W,West Adelaide Bearcats W,47,104,16.58,,1.00,current
2026-05-02,Southern Tigers W,Forestville Eagles W,69,81,4.39,,1.18,current
2026-05-02,Sturt Sabres W,Norwood Flames W,59,69,1.00,,18.36,current
2026-05-02,Woodville Warriors W,South Adelaide Panthers W,82,66,1.80,,1.89,current
2026-04-26,South Adelaide Panthers W,North Adelaide Rockets W,73,64,1.09,,6.26,current
2026-04-26,Woodville Warriors W,Eastern Mavericks W,105,78,1.07,,6.53,current
2026-04-25,Central Districts Lions W,South Adelaide Panthers W,61,73,6.44,,1.07,current
2026-04-25,Eastern Mavericks W,Sturt Sabres W,52,102,14.82,,1.01,current
2026-04-25,North Adelaide Rockets W,Woodville Warriors W,58,72,4.35,,1.17,current
2026-04-25,Norwood Flames W,Forestville Eagles W,70,69,7.40,,1.06,current
2026-04-25,Southern Tigers W,West Adelaide Bearcats W,63,92,14.08,,1.01,current
2026-04-24,Sturt Sabres W,Southern Tigers W,67,58,1.02,,10.84,current
2026-04-24,West Adelaide Bearcats W,Norwood Flames W,83,53,1.00,,16.75,current
2026-04-19,Forestville Eagles W,Central Districts Lions W,85,61,1.02,,10.01,current
2026-04-18,Central Districts Lions W,West Adelaide Bearcats W,61,106,15.70,,1.00,current
2026-04-18,Eastern Mavericks W,Norwood Flames W,52,82,2.39,,1.54,current
2026-04-18,Forestville Eagles W,Woodville Warriors W,67,59,1.24,,3.60,current
2026-04-18,Southern Tigers W,South Adelaide Panthers W,46,63,1.65,,2.10,current
2026-04-17,Sturt Sabres W,North Adelaide Rockets W,97,60,1.02,,10.56,current
2026-04-11,Eastern Mavericks W,Southern Tigers W,81,91,3.76,,1.22,current
2026-04-11,Norwood Flames W,North Adelaide Rockets W,67,95,1.42,,2.62,current
2026-04-11,South Adelaide Panthers W,West Adelaide Bearcats W,54,109,5.48,,1.11,current
2026-04-11,Sturt Sabres W,Forestville Eagles W,77,62,1.32,,3.20,current
2026-04-11,Woodville Warriors W,Central Districts Lions W,82,69,1.19,,4.14,current
2026-04-03,West Adelaide Bearcats W,Forestville Eagles W,82,54,1.35,,3.01,current
2026-04-02,Central Districts Lions W,Eastern Mavericks W,119,89,4.67,,1.15,current
2026-04-02,North Adelaide Rockets W,Southern Tigers W,49,61,1.65,,2.14,current
2026-04-02,South Adelaide Panthers W,Norwood Flames W,76,72,1.52,,2.36,current
2026-04-02,Woodville Warriors W,Sturt Sabres W,56,79,3.45,,1.26,current
2026-03-28,Central Districts Lions W,Sturt Sabres W,38,81,7.80,,1.05,current
2026-03-28,Forestville Eagles W,South Adelaide Panthers W,66,79,1.18,,4.26,current
2026-03-28,North Adelaide Rockets W,Eastern Mavericks W,76,82,1.11,,5.53,current
2026-03-28,Southern Tigers W,Norwood Flames W,68,79,1.97,,1.74,current
2026-03-28,West Adelaide Bearcats W,Woodville Warriors W,104,64,1.22,,3.78,current
2026-03-21,Eastern Mavericks W,Forestville Eagles W,74,79,15.04,,1.01,current
2026-03-21,North Adelaide Rockets W,West Adelaide Bearcats W,53,76,1.75,,2.01,current
2026-03-21,Norwood Flames W,Woodville Warriors W,81,86,1.88,,1.85,current
2026-03-21,Southern Tigers W,Central Districts Lions W,85,63,2.16,,2.19,current
2026-03-21,Sturt Sabres W,South Adelaide Panthers W,62,52,1.28,,3.29,current
