Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Albury-Wodonga Bandits,Hornsby S.,79,97,2.08,,1.68,current
2026-06-27,Bankstown Bruins,Norths Bears,89,88,3.00,,1.34,current
2026-06-27,Canberra,Sutherland Sharks,87,100,1.47,,2.48,current
2026-06-27,Hills Hornets,Illawarra Hawks 2,105,98,7.38,,1.06,current
2026-06-27,Maitland M.,Central Coast Crusaders,107,87,1.31,,3.17,current
2026-06-27,Newcastle Falcons,Manly W.,92,71,2.91,,1.36,current
2026-06-27,Sydney Comets,Inner West Bulls,86,82,1.51,,2.40,current
2026-06-21,Hills Hornets,Sutherland Sharks,73,80,3.70,,1.23,current
2026-06-21,Illawarra Hawks 2,Bankstown Bruins,92,77,1.18,,4.26,current
2026-06-21,Penrith P.,Central Coast Crusaders,71,84,3.38,,1.27,current
2026-06-20,Albury-Wodonga Bandits,Newcastle Falcons,92,93,2.60,,1.43,current
2026-06-20,Canberra,Inner West Bulls,63,67,1.18,,4.17,current
2026-06-20,Hornsby S.,Hills Hornets,66,84,1.97,,1.75,current
2026-06-20,Manly W.,Illawarra Hawks 2,82,77,3.10,,1.31,current
2026-06-20,Norths Bears,Sydney Comets,87,62,1.23,,3.59,current
2026-06-20,Penrith P.,Maitland M.,81,95,7.70,,1.05,current
2026-06-14,Hills Hornets,Albury-Wodonga Bandits,75,84,1.16,,4.62,current
2026-06-14,Hornsby S.,Newcastle Falcons,89,104,1.66,,2.10,current
2026-06-14,Maitland M.,Inner West Bulls,91,72,1.29,,3.25,current
2026-06-14,Sutherland Sharks,Canberra,78,75,2.16,,1.62,current
2026-06-13,Bankstown Bruins,Newcastle Falcons,85,78,1.28,,3.30,current
2026-06-13,Maitland M.,Sydney Comets,85,67,1.37,,2.85,current
2026-06-13,Manly W.,Albury-Wodonga Bandits,111,70,1.07,,6.67,current
2026-06-13,Penrith P.,Norths Bears,79,85,7.91,,1.05,current
2026-06-13,Sutherland Sharks,Hornsby S.,87,95,1.12,,5.33,current
2026-05-31,Central Coast Crusaders,Bankstown Bruins,86,79,1.69,,2.07,current
2026-05-31,Hills Hornets,Inner West Bulls,82,74,3.48,,1.26,current
2026-05-31,Penrith P.,Sutherland Sharks,80,102,5.83,,1.10,current
2026-05-30,Albury-Wodonga Bandits,Illawarra Hawks 2,102,111,9.69,,1.02,current
2026-05-30,Central Coast Crusaders,Canberra,88,73,6.15,,1.10,current
2026-05-30,Manly W.,Hills Hornets,74,60,1.22,,3.74,current
2026-05-30,Norths Bears,Maitland M.,99,86,1.55,,2.31,current
2026-05-30,Sydney Comets,Sutherland Sharks,62,87,1.70,,2.03,current
2026-05-24,Central Coast Crusaders,Penrith P.,89,83,1.18,,4.27,current
2026-05-24,Inner West Bulls,Albury-Wodonga Bandits,80,98,2.69,,4.18,current
2026-05-24,Maitland M.,Manly W.,85,61,2.12,,1.66,current
2026-05-23,Bankstown Bruins,Inner West Bulls,80,108,1.32,,3.10,current
2026-05-23,Canberra,Hornsby S.,63,73,1.02,,9.60,current
2026-05-23,Maitland M.,Hills Hornets,102,84,1.28,,3.31,current
2026-05-23,Newcastle Falcons,Illawarra Hawks 2,69,94,5.06,,1.13,current
2026-05-23,Sydney Comets,Albury-Wodonga Bandits,85,68,1.04,,8.21,current
2026-05-16,Albury-Wodonga Bandits,Sutherland Sharks,94,111,6.64,,1.07,current
2026-05-16,Canberra,Bankstown Bruins,96,92,1.20,,4.08,current
2026-05-16,Hornsby S.,Inner West Bulls,84,91,1.57,,2.26,current
2026-05-16,Newcastle Falcons,Maitland M.,81,73,2.87,,1.37,current
2026-05-16,Norths Bears,Central Coast Crusaders,107,90,1.02,,10.29,current
2026-05-16,Penrith P.,Illawarra Hawks 2,84,94,9.55,,1.02,current
2026-05-16,Sydney Comets,Manly W.,61,68,2.07,,1.68,current
2026-05-10,Bankstown Bruins,Sutherland Sharks,90,97,1.26,,3.49,current
2026-05-10,Hills Hornets,Canberra,77,103,4.44,,1.17,current
2026-05-10,Norths Bears,Hornsby S.,102,96,1.12,,5.27,current
2026-05-09,Albury-Wodonga Bandits,Maitland M.,79,103,6.52,,1.08,current
2026-05-09,Bankstown Bruins,Manly W.,98,107,2.29,,1.56,current
2026-05-09,Inner West Bulls,Illawarra Hawks 2,76,97,4.59,,1.16,current
2026-05-09,Norths Bears,Newcastle Falcons,95,80,1.11,,5.65,current
2026-05-09,Penrith P.,Hornsby S.,61,76,2.10,,1.67,current
2026-05-03,Newcastle Falcons,Inner West Bulls,81,86,1.80,,1.89,current
2026-05-03,Penrith P.,Sydney Comets,68,67,6.19,,1.09,current
2026-05-02,Bankstown Bruins,Maitland M.,78,104,1.32,,3.16,current
2026-05-02,Canberra,Albury-Wodonga Bandits,115,75,1.02,,10.00,current
2026-05-02,Hills Hornets,Norths Bears,62,92,3.06,,1.33,current
2026-05-02,Hornsby S.,Sydney Comets,69,92,3.79,,1.22,current
