Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Albury W,Hornsby S. W,82,62,1.05,,7.39,current
2026-06-27,Bankstown Bruins W,Norths Bears W,88,90,2.48,,1.47,current
2026-06-27,Canberra W,Sutherland Sharks W,87,75,1.52,,2.35,current
2026-06-27,Hills Hornets W,Illawarra Hawks W,91,61,1.11,,5.33,current
2026-06-27,Maitland Mustangs W,Central Coast W,89,42,1.00,,15.29,current
2026-06-27,Newcastle Falcons W,Manly W. W,57,67,3.05,,1.32,current
2026-06-27,Sydney Comets W,Inner West Bulls W,100,84,1.02,,11.02,current
2026-06-21,Hills Hornets W,Sutherland Sharks W,91,68,1.63,,2.14,current
2026-06-21,Illawarra Hawks W,Bankstown Bruins W,65,97,13.70,,1.01,current
2026-06-21,Penrith P. W,Central Coast W,70,57,1.63,,2.18,current
2026-06-20,Albury W,Newcastle Falcons W,104,89,2.37,,1.51,current
2026-06-20,Canberra W,Inner West Bulls W,81,55,1.00,,18.44,current
2026-06-20,Hornsby S. W,Hills Hornets W,73,100,1.62,,2.17,current
2026-06-20,Manly W. W,Illawarra Hawks W,103,51,1.02,,10.22,current
2026-06-20,Norths Bears W,Sydney Comets W,85,69,1.00,,16.33,current
2026-06-20,Penrith P. W,Maitland Mustangs W,53,81,12.24,,1.01,current
2026-06-14,Hills Hornets W,Albury W,78,104,3.04,,1.32,current
2026-06-14,Hornsby S. W,Newcastle Falcons W,62,94,2.44,,1.49,current
2026-06-14,Maitland Mustangs W,Inner West Bulls W,111,71,1.01,,13.08,current
2026-06-14,Sutherland Sharks W,Canberra W,70,81,1.74,,1.98,current
2026-06-13,Bankstown Bruins W,Newcastle Falcons W,85,72,1.50,,2.40,current
2026-06-13,Illawarra Hawks W,Canberra W,77,83,3.20,,1.30,current
2026-06-13,Maitland Mustangs W,Sydney Comets W,79,69,1.30,,3.14,current
2026-06-13,Manly W. W,Albury W,83,70,1.12,,5.01,current
2026-06-13,Penrith P. W,Norths Bears W,67,113,17.75,,1.00,current
2026-05-31,Central Coast W,Bankstown Bruins W,52,94,16.33,,1.00,current
2026-05-31,Hills Hornets W,Inner West Bulls W,102,63,1.01,,15.65,current
2026-05-31,Hornsby S. W,Canberra W,81,109,1.07,,6.60,current
2026-05-31,Penrith P. W,Sutherland Sharks W,56,88,14.95,,1.01,current
2026-05-30,Albury W,Illawarra Hawks W,66,70,1.01,,11.75,current
2026-05-30,Central Coast W,Canberra W,41,100,12.14,,1.03,current
2026-05-30,Manly W. W,Hills Hornets W,71,54,1.01,,10.33,current
2026-05-30,Norths Bears W,Maitland Mustangs W,76,72,1.01,,15.21,current
2026-05-30,Sydney Comets W,Sutherland Sharks W,63,70,6.37,,1.08,current
2026-05-24,Central Coast W,Penrith P. W,71,59,2.84,,1.37,current
2026-05-24,Inner West Bulls W,Albury W,62,79,19.00,,1.00,current
2026-05-24,Maitland Mustangs W,Manly W. W,61,71,9.79,,1.02,current
2026-05-23,Bankstown Bruins W,Inner West Bulls W,96,45,1.00,,16.33,current
2026-05-23,Canberra W,Hornsby S. W,83,95,5.29,,1.12,current
2026-05-23,Maitland Mustangs W,Hills Hornets W,82,76,1.79,,1.92,current
2026-05-23,Newcastle Falcons W,Illawarra Hawks W,76,64,1.00,,16.33,current
2026-05-23,Sutherland Sharks W,Central Coast W,88,64,1.00,,16.33,current
2026-05-23,Sydney Comets W,Albury W,48,81,9.14,,1.03,current
2026-05-16,Albury W,Sutherland Sharks W,78,54,1.49,,2.39,current
2026-05-16,Canberra W,Bankstown Bruins W,53,95,7.49,,1.05,current
2026-05-16,Hornsby S. W,Inner West Bulls W,104,72,1.00,,16.33,current
2026-05-16,Newcastle Falcons W,Maitland Mustangs W,78,60,1.04,,8.34,current
2026-05-16,Norths Bears W,Central Coast W,106,52,1.00,,16.33,current
2026-05-16,Penrith P. W,Illawarra Hawks W,67,79,3.49,,1.25,current
2026-05-16,Sydney Comets W,Manly W. W,51,80,16.33,,1.00,current
2026-05-10,Bankstown Bruins W,Sutherland Sharks W,81,68,1.37,,2.83,current
2026-05-10,Hills Hornets W,Canberra W,91,78,1.15,,4.63,current
2026-05-10,Norths Bears W,Hornsby S. W,101,73,1.05,,8.86,current
2026-05-09,Albury W,Maitland Mustangs W,63,65,1.09,,5.89,current
2026-05-09,Bankstown Bruins W,Manly W. W,82,65,3.37,,1.27,current
2026-05-09,Inner West Bulls W,Illawarra Hawks W,79,96,4.11,,1.19,current
2026-05-09,Norths Bears W,Newcastle Falcons W,93,75,1.20,,3.95,current
2026-05-09,Penrith P. W,Hornsby S. W,61,92,14.96,,1.01,current
2026-05-03,Newcastle Falcons W,Inner West Bulls W,110,67,1.00,,16.58,current
2026-05-03,Penrith P. W,Sydney Comets W,60,73,2.94,,1.35,current
2026-05-02,Bankstown Bruins W,Maitland Mustangs W,88,77,1.22,,3.76,current
2026-05-02,Canberra W,Albury W,49,67,6.67,,1.08,current
2026-05-02,Hills Hornets W,Norths Bears W,51,75,9.97,,1.02,current
2026-05-02,Hornsby S. W,Sydney Comets W,84,51,1.01,,17.75,current
2026-05-02,Manly W. W,Central Coast W,90,56,1.00,,15.38,current
2026-05-02,Sutherland Sharks W,Newcastle Falcons W,75,79,3.37,,1.27,current
2026-04-26,Central Coast W,Inner West Bulls W,78,65,2.11,,1.64,current
2026-04-26,Illawarra Hawks W,Norths Bears W,40,88,16.58,,1.00,current
2026-04-25,Albury W,Manly W. W,86,94,6.29,,1.08,current
2026-04-25,Canberra W,Penrith P. W,73,52,1.01,,10.30,current
2026-04-25,Hills Hornets W,Central Coast W,81,54,1.00,,16.58,current
2026-04-25,Illawarra Hawks W,Sutherland Sharks W,50,80,9.07,,1.03,current
2026-04-25,Inner West Bulls W,Bankstown Bruins W,43,99,14.50,,1.00,current
2026-04-25,Sydney Comets W,Norths Bears W,59,70,9.50,,1.01,current
2026-04-24,Bankstown Bruins W,Sydney Comets W,94,86,1.00,,16.50,current
2026-04-19,Bankstown Bruins W,Hornsby S. W,87,71,2.51,,1.47,current
