Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Brisbane Capitals,Gold Coast Rollers,79,92,4.68,,1.15,current
2026-06-27,Northside Wizards,South West Metro Pirates,104,71,1.52,,2.40,current
2026-06-27,Rockhampton Rockets,Mackay Meteors,99,118,2.05,,1.68,current
2026-06-27,Sunshine Coast Phoenix,Southern District,109,95,1.39,,2.76,current
2026-06-27,Townsville Heat,Ipswich Force,92,129,2.49,,1.47,current
2026-06-26,Cairns Marlins,Ipswich Force,106,91,1.26,,3.37,current
2026-06-21,North Gold Coast Seahawks,South West Metro Pirates,98,102,2.59,,1.45,current
2026-06-21,Northside Wizards,Gold Coast Rollers,90,118,6.32,,1.09,current
2026-06-20,Logan Thunder,South West Metro Pirates,101,103,1.19,,4.12,current
2026-06-20,Mackay Meteors,Cairns Marlins,91,111,4.12,,1.19,current
2026-06-20,Southern District,Ipswich Force,102,79,2.87,,1.37,current
2026-06-20,Sunshine Coast Phoenix,Brisbane Capitals,103,70,1.20,,4.05,current
2026-06-19,Townsville Heat,Cairns Marlins,86,96,4.32,,1.17,current
2026-06-14,Ipswich Force,Northside Wizards,121,81,1.23,,3.75,current
2026-06-13,Brisbane Capitals,Cairns Marlins,89,114,3.55,,1.25,current
2026-06-13,Southern District,Logan Thunder,84,124,2.84,,1.37,current
2026-06-13,South West Metro Pirates,Sunshine Coast Phoenix,102,92,4.19,,1.19,current
2026-06-13,Townsville Heat,North Gold Coast Seahawks,87,90,1.15,,4.67,current
2026-06-12,Gold Coast Rollers,Southern District,136,87,1.32,,3.11,current
2026-06-12,Mackay Meteors,North Gold Coast Seahawks,99,84,1.06,,7.11,current
2026-06-12,Rockhampton Rockets,Cairns Marlins,85,118,4.17,,1.19,current
2026-06-07,Ipswich Force,Rockhampton Rockets,112,106,1.12,,5.18,current
2026-06-07,Southern District,Townsville Heat,117,101,1.31,,3.11,current
2026-06-06,Brisbane Capitals,Townsville Heat,92,110,1.27,,3.47,current
2026-06-06,North Gold Coast Seahawks,Ipswich Force,74,86,8.53,,1.04,current
2026-06-06,Northside Wizards,Sunshine Coast Phoenix,78,84,4.55,,1.16,current
2026-06-06,South West Metro Pirates,Rockhampton Rockets,122,111,1.45,,2.56,current
2026-06-05,Logan Thunder,Rockhampton Rockets,117,92,1.11,,5.53,current
2026-05-31,Southern District,Sunshine Coast Phoenix,84,106,2.39,,1.51,current
2026-05-31,South West Metro Pirates,Ipswich Force,77,86,6.18,,1.08,current
2026-05-30,Brisbane Capitals,South West Metro Pirates,104,88,1.08,,6.48,current
2026-05-30,Cairns Marlins,Gold Coast Rollers,103,98,1.75,,1.96,current
2026-05-30,Rockhampton Rockets,Northside Wizards,95,112,1.66,,2.10,current
2026-05-30,Sunshine Coast Phoenix,Logan Thunder,116,87,2.80,,1.38,current
2026-05-29,Logan Thunder,North Gold Coast Seahawks,95,78,1.01,,12.11,current
2026-05-29,Mackay Meteors,Northside Wizards,114,92,1.59,,2.23,current
2026-05-29,Townsville Heat,Gold Coast Rollers,83,110,4.70,,1.15,current
2026-05-24,North Gold Coast Seahawks,Rockhampton Rockets,78,104,2.61,,1.44,current
2026-05-24,Sunshine Coast Phoenix,Ipswich Force,123,88,1.46,,2.53,current
2026-05-23,Cairns Marlins,Mackay Meteors,110,83,1.09,,5.98,current
2026-05-23,Gold Coast Rollers,Rockhampton Rockets,130,94,1.07,,6.86,current
2026-05-23,Northside Wizards,Southern District,101,92,4.08,,1.20,current
2026-05-23,South West Metro Pirates,North Gold Coast Seahawks,82,95,1.49,,2.46,current
2026-05-22,Brisbane Capitals,Northside Wizards,100,88,1.16,,4.54,current
2026-05-22,Townsville Heat,Mackay Meteors,89,92,2.34,,1.53,current
2026-05-16,Gold Coast Rollers,South West Metro Pirates,114,96,1.02,,11.09,current
2026-05-16,Ipswich Force,Brisbane Capitals,97,85,2.97,,1.34,current
2026-05-16,North Gold Coast Seahawks,Southern District,83,97,5.97,,1.09,current
2026-05-16,Northside Wizards,Townsville Heat,96,99,1.36,,2.90,current
2026-05-16,Rockhampton Rockets,Mackay Meteors,104,85,1.94,,1.79,current
2026-05-15,Logan Thunder,Gold Coast Rollers,96,104,1.38,,2.79,current
