Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Brisbane Capitals W,Gold Coast Rollers W,69,95,1.29,,3.26,current
2026-06-27,Northside Wizards W,South West Metro Pirates W,83,67,1.04,,7.95,current
2026-06-27,Rockhampton W,Mackay Meteorettes W,82,70,8.42,,1.03,current
2026-06-27,Sunshine Coast Phoenix W,Southern District Spartans W,74,96,2.18,,1.60,current
2026-06-27,Townsville Flames W,Ipswich Force W,97,59,1.02,,9.67,current
2026-06-26,Cairns W,Ipswich Force W,99,52,1.02,,10.24,current
2026-06-21,North Gold Coast Seahawks W,South West Metro Pirates W,92,72,1.15,,4.67,current
2026-06-21,Northside Wizards W,Gold Coast Rollers W,113,84,1.06,,7.21,current
2026-06-20,Logan Thunder W,South West Metro Pirates W,99,77,1.01,,15.51,current
2026-06-20,Mackay Meteorettes W,Cairns W,81,90,1.20,,3.97,current
2026-06-20,Southern District Spartans W,Ipswich Force W,105,65,1.04,,8.08,current
2026-06-20,Sunshine Coast Phoenix W,Brisbane Capitals W,96,90,1.10,,5.83,current
2026-06-19,Townsville Flames W,Cairns W,91,69,2.24,,1.57,current
2026-06-14,Ipswich Force W,Northside Wizards W,76,107,3.16,,1.30,current
2026-06-13,Brisbane Capitals W,Cairns W,82,90,6.16,,1.08,current
2026-06-13,Southern District Spartans W,Logan Thunder W,71,91,2.51,,1.46,current
2026-06-13,South West Metro Pirates W,Sunshine Coast Phoenix W,66,90,3.71,,1.23,current
2026-06-13,Townsville Flames W,North Gold Coast Seahawks W,75,83,1.14,,4.86,current
2026-06-12,Gold Coast Rollers W,Southern District Spartans W,68,90,5.67,,1.09,current
2026-06-12,Mackay Meteorettes W,North Gold Coast Seahawks W,108,81,1.03,,8.16,current
2026-06-12,Rockhampton W,Cairns W,90,103,8.54,,1.03,current
2026-06-07,Ipswich Force W,Rockhampton W,74,79,1.41,,2.67,current
2026-06-07,Southern District Spartans W,Townsville Flames W,69,104,1.29,,3.74,current
2026-06-06,Brisbane Capitals W,Townsville Flames W,71,93,2.96,,1.35,current
2026-06-06,North Gold Coast Seahawks W,Ipswich Force W,100,83,1.37,,2.83,current
2026-06-06,Northside Wizards W,Sunshine Coast Phoenix W,80,79,1.17,,4.35,current
2026-06-06,South West Metro Pirates W,Rockhampton W,83,78,1.40,,2.70,current
2026-06-05,Logan Thunder W,Rockhampton W,87,82,1.01,,12.32,current
2026-05-31,Southern District Spartans W,Sunshine Coast Phoenix W,65,85,1.04,,8.08,current
2026-05-31,South West Metro Pirates W,Ipswich Force W,74,61,3.47,,1.25,current
2026-05-30,Brisbane Capitals W,South West Metro Pirates W,82,63,1.59,,2.20,current
2026-05-30,Cairns W,Gold Coast Rollers W,87,78,1.02,,10.29,current
2026-05-30,Rockhampton W,Northside Wizards W,66,74,5.68,,1.10,current
2026-05-30,Sunshine Coast Phoenix W,Logan Thunder W,81,92,7.05,,1.06,current
2026-05-29,Logan Thunder W,North Gold Coast Seahawks W,85,66,1.03,,9.14,current
2026-05-29,Mackay Meteorettes W,Northside Wizards W,95,85,1.13,,5.00,current
2026-05-29,Townsville Flames W,Gold Coast Rollers W,76,61,1.03,,8.70,current
2026-05-24,North Gold Coast Seahawks W,Rockhampton W,95,78,1.35,,2.91,current
