Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Ballarat W,Waverley W,80,79,2.09,,1.65,current
2026-06-27,Bendigo Braves W,Casey Cavaliers W,67,91,4.40,,1.16,current
2026-06-27,Dandenong Rangers W,Mt. Gambier W,90,76,3.08,,1.31,current
2026-06-27,Frankston W,Knox W,54,75,6.41,,1.08,current
2026-06-27,Geelong W,Nunawading W,74,82,2.24,,1.57,current
2026-06-27,Kilsyth W,Diamond Valley W,60,98,7.07,,1.06,current
2026-06-27,Northern Tasmania W,Eltham W,72,97,3.88,,1.21,current
2026-06-26,Hobart Chargers W,Eltham W,79,89,5.65,,1.10,current
2026-06-21,Casey Cavaliers W,Geelong W,98,78,1.03,,9.01,current
2026-06-21,Eltham W,Bendigo Braves W,92,73,1.03,,9.25,current
2026-06-21,Melbourne Tigers W,Diamond Valley W,68,97,4.14,,1.18,current
2026-06-20,Dandenong Rangers W,Frankston W,81,63,1.48,,2.46,current
2026-06-20,Diamond Valley W,Casey Cavaliers W,96,101,1.54,,2.30,current
2026-06-20,Geelong W,Ballarat W,86,81,5.19,,1.13,current
2026-06-20,Hobart Chargers W,Sandringham W,71,80,5.33,,1.11,current
2026-06-20,Keilor Thunder W,Eltham W,92,66,1.25,,3.48,current
2026-06-20,Nunawading W,Ringwood W,84,70,1.07,,6.57,current
2026-06-19,Mt. Gambier W,Kilsyth W,83,67,1.08,,6.84,current
2026-06-19,Northern Tasmania W,Sandringham W,99,81,4.51,,1.15,current
2026-06-14,Ballarat W,Northern Tasmania W,77,75,1.21,,3.89,current
2026-06-14,Bendigo Braves W,Kilsyth W,89,79,1.20,,4.02,current
2026-06-14,Casey Cavaliers W,Keilor Thunder W,73,84,2.68,,1.40,current
2026-06-14,Mt. Gambier W,Geelong W,93,66,1.03,,9.99,current
2026-06-14,Nunawading W,Knox W,56,78,4.16,,1.18,current
2026-06-14,Ringwood W,Hobart Chargers W,96,84,1.87,,1.80,current
2026-06-13,Casey Cavaliers W,Ballarat W,78,95,1.73,,1.98,current
2026-06-13,Dandenong Rangers W,Diamond Valley W,99,83,1.88,,1.81,current
2026-06-13,Eltham W,Melbourne Tigers W,84,96,1.36,,2.86,current
2026-06-13,Frankston W,Hobart Chargers W,70,73,1.57,,2.23,current
2026-06-13,Knox W,Ringwood W,89,63,1.00,,15.71,current
2026-06-13,Sandringham W,Keilor Thunder W,63,82,1.78,,1.92,current
2026-06-13,Waverley W,Nunawading W,86,78,1.32,,3.19,current
2026-06-08,Waverley W,Diamond Valley W,71,62,2.38,,1.50,current
2026-06-05,Casey Cavaliers W,Melbourne Tigers W,83,70,1.81,,1.87,current
2026-06-05,Frankston W,Sandringham W,52,70,6.06,,1.11,current
2026-06-05,Keilor Thunder W,Ballarat W,81,73,1.24,,3.61,current
2026-05-31,Ballarat W,Knox W,84,91,6.80,,1.06,current
2026-05-31,Dandenong Rangers W,Geelong W,82,85,1.06,,7.28,current
2026-05-31,Melbourne Tigers W,Nunawading W,80,66,1.32,,3.09,current
2026-05-30,Ballarat W,Geelong W,95,73,1.06,,7.37,current
2026-05-30,Bendigo Braves W,Waverley W,70,91,3.58,,1.24,current
2026-05-30,Kilsyth W,Knox W,67,84,8.07,,1.06,current
2026-05-30,Melbourne Tigers W,Keilor Thunder W,80,82,1.57,,2.29,current
2026-05-30,Northern Tasmania W,Hobart Chargers W,74,64,1.38,,2.76,current
2026-05-30,Nunawading W,Dandenong Rangers W,63,64,1.39,,2.87,current
2026-05-29,Mt. Gambier W,Ringwood W,76,42,1.02,,10.98,current
2026-05-24,Ballarat W,Hobart Chargers W,94,98,1.04,,8.12,current
2026-05-24,Diamond Valley W,Bendigo Braves W,109,93,1.31,,3.08,current
2026-05-24,Frankston W,Northern Tasmania W,68,72,1.41,,2.65,current
2026-05-24,Keilor Thunder W,Dandenong Rangers W,90,95,1.27,,3.31,current
2026-05-24,Sandringham W,Kilsyth W,79,73,1.07,,6.64,current
2026-05-24,Waverley W,Geelong W,72,67,1.08,,6.15,current
2026-05-23,Bendigo Braves W,Frankston W,86,78,1.33,,3.00,current
2026-05-23,Dandenong Rangers W,Knox W,73,91,2.72,,1.51,current
2026-05-23,Eltham W,Hobart Chargers W,102,77,1.06,,7.10,current
2026-05-23,Geelong W,Northern Tasmania W,80,88,2.00,,1.73,current
2026-05-23,Kilsyth W,Melbourne Tigers W,68,78,5.69,,1.11,current
2026-05-23,Mt. Gambier W,Casey Cavaliers W,81,84,2.36,,1.52,current
2026-05-23,Nunawading W,Sandringham W,56,85,4.40,,1.17,current
2026-05-23,Ringwood W,Ballarat W,72,107,6.73,,1.06,current
2026-05-17,Casey Cavaliers W,Bendigo Braves W,96,63,1.09,,5.95,current
2026-05-17,Eltham W,Mt. Gambier W,97,90,1.35,,2.90,current
2026-05-16,Ballarat W,Melbourne Tigers W,65,86,1.72,,1.98,current
2026-05-16,Bendigo Braves W,Mt. Gambier W,69,95,2.77,,1.38,current
2026-05-16,Frankston W,Waverley W,66,70,3.02,,1.33,current
2026-05-16,Geelong W,Knox W,64,82,7.80,,1.10,current
2026-05-16,Hobart Chargers W,Diamond Valley W,70,81,2.80,,1.39,current
2026-05-16,Keilor Thunder W,Kilsyth W,92,71,1.02,,9.61,current
2026-05-16,Northern Tasmania W,Dandenong Rangers W,98,83,2.02,,1.71,current
2026-05-16,Nunawading W,Casey Cavaliers W,91,85,4.09,,1.19,current
2026-05-16,Sandringham W,Ringwood W,104,72,1.01,,12.52,current
2026-05-15,Hobart Chargers W,Dandenong Rangers W,100,95,2.93,,1.34,current
2026-05-15,Northern Tasmania W,Diamond Valley W,92,91,4.02,,1.21,current
2026-05-10,Keilor Thunder W,Hobart Chargers W,97,52,1.05,,7.72,current
2026-05-10,Kilsyth W,Northern Tasmania W,80,98,1.48,,2.48,current
2026-05-10,Melbourne Tigers W,Frankston W,84,61,1.22,,3.73,current
2026-05-10,Nunawading W,Eltham W,82,92,3.84,,1.22,current
2026-05-10,Ringwood W,Geelong W,84,100,1.34,,2.99,current
2026-05-10,Waverley W,Casey Cavaliers W,65,80,1.79,,1.90,current
2026-05-09,Bendigo Braves W,Ballarat W,78,89,2.49,,1.48,current
2026-05-09,Casey Cavaliers W,Sandringham W,63,85,2.17,,1.60,current
2026-05-09,Dandenong Rangers W,Kilsyth W,97,51,1.40,,2.74,current
2026-05-09,Diamond Valley W,Ringwood W,99,85,1.02,,9.43,current
2026-05-09,Eltham W,Waverley W,81,76,1.39,,2.70,current
2026-05-09,Frankston W,Keilor Thunder W,57,84,2.16,,1.64,current
2026-05-09,Geelong W,Melbourne Tigers W,71,68,8.79,,1.04,current
2026-05-09,Knox W,Northern Tasmania W,82,51,1.00,,16.87,current
2026-05-08,Mt. Gambier W,Hobart Chargers W,78,82,1.07,,6.38,current
2026-05-03,Keilor Thunder W,Geelong W,74,70,1.17,,4.42,current
2026-05-03,Melbourne Tigers W,Knox W,86,81,2.28,,1.56,current
2026-05-03,Nunawading W,Diamond Valley W,76,98,5.32,,1.11,current
2026-05-03,Sandringham W,Mt. Gambier W,100,74,1.51,,2.36,current
2026-05-03,Waverley W,Dandenong Rangers W,73,63,1.19,,4.32,current
2026-05-02,Casey Cavaliers W,Eltham W,96,77,1.63,,2.11,current
2026-05-02,Dandenong Rangers W,Ringwood W,93,60,1.60,,2.18,current
2026-05-02,Diamond Valley W,Keilor Thunder W,93,68,1.14,,4.93,current
2026-05-02,Frankston W,Nunawading W,82,68,1.61,,2.15,current
2026-05-02,Geelong W,Sandringham W,62,81,12.32,,1.01,current
2026-05-02,Hobart Chargers W,Bendigo Braves W,92,67,1.86,,1.82,current
2026-05-02,Kilsyth W,Ballarat W,79,87,2.74,,1.39,current
2026-05-02,Knox W,Mt. Gambier W,83,72,1.06,,7.19,current
2026-05-01,Northern Tasmania W,Bendigo Braves W,78,70,2.01,,1.71,current
2026-04-26,Ballarat W,Frankston W,91,74,1.19,,4.05,current
2026-04-26,Bendigo Braves W,Nunawading W,113,97,1.12,,5.41,current
2026-04-26,Knox W,Diamond Valley W,77,62,1.73,,1.97,current
2026-04-26,Melbourne Tigers W,Kilsyth W,71,66,1.26,,3.41,current
2026-04-25,Ballarat W,Keilor Thunder W,70,58,1.05,,7.56,current
2026-04-25,Eltham W,Geelong W,87,47,1.02,,10.80,current
2026-04-25,Mt. Gambier W,Waverley W,59,86,1.22,,3.79,current
2026-04-25,Northern Tasmania W,Casey Cavaliers W,84,88,8.33,,1.04,current
2026-04-25,Ringwood W,Melbourne Tigers W,83,86,5.42,,1.12,current
2026-04-25,Sandringham W,Knox W,82,72,3.27,,1.29,current
2026-04-24,Frankston W,Dandenong Rangers W,85,69,1.05,,7.75,current
2026-04-24,Hobart Chargers W,Casey Cavaliers W,89,112,6.84,,1.07,current
2026-04-19,Nunawading W,Keilor Thunder W,53,70,1.31,,3.11,current
2026-04-18,Ballarat W,Eltham W,74,86,2.20,,1.59,current
2026-04-18,Dandenong Rangers W,Bendigo Braves W,88,67,11.36,,1.02,current
2026-04-18,Diamond Valley W,Geelong W,90,51,1.02,,10.65,current
2026-04-18,Frankston W,Kilsyth W,81,74,2.11,,1.64,current
2026-04-18,Hobart Chargers W,Northern Tasmania W,75,69,1.78,,2.06,current
2026-04-18,Keilor Thunder W,Sandringham W,52,65,9.11,,1.03,current
2026-04-18,Knox W,Nunawading W,78,55,1.08,,6.35,current
2026-04-17,Casey Cavaliers W,Ringwood W,109,86,1.05,,7.71,current
2026-04-16,Kilsyth W,Waverley W,82,80,2.02,,1.70,current
2026-04-16,Sandringham W,Melbourne Tigers W,102,73,1.35,,3.19,current
