Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Cockburn Cougars W,Kalamunda Eastern Suns W,92,80,1.01,,14.61,current
2026-06-27,Goldfields Giants W,East Perth Eagles W,80,100,5.76,,1.10,current
2026-06-27,Joondalup Wolves W,Perry Lakes Hawks W,80,76,1.35,,2.91,current
2026-06-27,Mandurah Magic W,Warwick Senators W,83,68,1.60,,2.23,current
2026-06-26,Lakeside Lightning W,Willetton Tigers W,89,68,1.39,,2.74,current
2026-06-26,Rockingham Flames W,South West Slammers W,122,68,1.00,,15.43,current
2026-06-21,Mandurah Magic W,Goldfields Giants W,91,79,1.20,,4.00,current
2026-06-20,East Perth Eagles W,Rockingham Flames W,89,80,3.64,,1.23,current
2026-06-20,Joondalup Wolves W,Perth Redbacks W,88,90,1.39,,2.75,current
2026-06-20,South West Slammers W,Goldfields Giants W,57,90,9.89,,1.02,current
2026-06-20,Willetton Tigers W,Cockburn Cougars W,76,77,14.68,,1.01,current
2026-06-19,Warwick Senators W,Kalamunda Eastern Suns W,89,80,1.01,,10.34,current
2026-06-13,Goldfields Giants W,Warwick Senators W,67,78,3.30,,1.28,current
2026-06-13,Lakeside Lightning W,Perth Redbacks W,68,84,1.65,,2.08,current
2026-06-13,Perry Lakes Hawks W,Mandurah Magic W,97,101,2.69,,1.40,current
2026-06-13,South West Slammers W,East Perth Eagles W,57,110,10.60,,1.02,current
2026-06-12,Cockburn Cougars W,Rockingham Flames W,75,69,1.73,,2.10,current
2026-06-12,Perth Redbacks W,Kalamunda Eastern Suns W,82,75,1.12,,5.11,current
2026-06-12,Willetton Tigers W,Lakeside Lightning W,74,81,1.88,,1.81,current
2026-06-06,Goldfields Giants W,Cockburn Cougars W,77,87,10.11,,1.02,current
2026-06-06,Kalamunda Eastern Suns W,Joondalup Wolves W,82,94,3.22,,1.30,current
2026-06-06,Mandurah Magic W,Lakeside Lightning W,93,63,1.07,,6.61,current
2026-06-06,Rockingham Flames W,East Perth Eagles W,79,67,1.12,,5.36,current
2026-06-06,South West Slammers W,Perry Lakes Hawks W,61,80,6.71,,1.07,current
2026-06-05,Joondalup Wolves W,Warwick Senators W,59,78,3.72,,1.22,current
2026-06-05,Perth Redbacks W,South West Slammers W,128,79,1.19,,4.07,current
