Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Montreal Alliance,Niagara River Lions,96,86,1.65,,2.13,current
2026-06-25,Saskatoon Mamba,Edmonton Stingers,108,115,1.30,,3.30,current
2026-06-24,Ottawa Blackjacks,Scarborough Shooting Stars,88,86,2.97,,1.36,current
2026-06-22,Ottawa Blackjacks,Saskatoon Mamba,98,101,1.52,,2.43,current
2026-06-21,Calgary Surge,Montreal Alliance,88,93,2.81,,1.39,current
2026-06-21,Scarborough Shooting Stars,Niagara River Lions,75,69,1.25,,3.55,current
2026-06-21,Vancouver Bandits,Brampton Honey Badgers,102,81,1.36,,2.98,current
2026-06-20,Scarborough Shooting Stars,Ottawa Blackjacks,108,80,1.35,,2.99,current
2026-06-20,Winnipeg Sea Bears,Edmonton Stingers,107,86,1.28,,3.44,current
2026-06-19,Winnipeg Sea Bears,Vancouver Bandits,114,81,2.04,,1.72,current
2026-06-18,Calgary Surge,Brampton Honey Badgers,102,99,4.50,,1.16,current
2026-06-18,Edmonton Stingers,Montreal Alliance,76,95,1.24,,3.74,current
2026-06-16,Brampton Honey Badgers,Niagara River Lions,84,101,1.46,,2.56,current
2026-06-16,Saskatoon Mamba,Ottawa Blackjacks,96,94,1.65,,2.12,current
2026-06-16,Vancouver Bandits,Scarborough Shooting Stars,105,108,1.26,,3.56,current
2026-06-15,Calgary Surge,Winnipeg Sea Bears,88,107,2.96,,1.36,current
2026-06-14,Edmonton Stingers,Scarborough Shooting Stars,78,95,1.81,,1.92,current
2026-06-14,Niagara River Lions,Montreal Alliance,93,75,1.90,,1.81,current
2026-06-14,Vancouver Bandits,Ottawa Blackjacks,104,95,1.22,,3.93,current
2026-06-13,Winnipeg Sea Bears,Calgary Surge,92,72,1.14,,5.20,current
2026-06-07,Montreal Alliance,Edmonton Stingers,78,98,1.47,,2.56,current
2026-06-07,Scarborough Shooting Stars,Calgary Surge,96,80,1.24,,3.75,current
2026-06-06,Montreal Alliance,Winnipeg Sea Bears,97,91,1.90,,1.79,current
2026-06-06,Niagara River Lions,Brampton Honey Badgers,86,97,1.77,,1.95,current
2026-06-05,Ottawa Blackjacks,Winnipeg Sea Bears,88,117,1.65,,2.15,current
2026-06-04,Brampton Honey Badgers,Edmonton Stingers,87,86,1.45,,2.55,current
2026-06-03,Ottawa Blackjacks,Vancouver Bandits,114,105,1.76,,1.93,current
2026-05-31,Brampton Honey Badgers,Vancouver Bandits,87,93,1.64,,2.12,current
2026-05-31,Montreal Alliance,Ottawa Blackjacks,79,90,1.55,,2.33,current
2026-05-26,Brampton Honey Badgers,Winnipeg Sea Bears,96,92,1.88,,1.84,current
2026-05-23,Vancouver Bandits,Edmonton Stingers,111,88,1.57,,2.20,current
2026-05-20,Montreal Alliance,Saskatoon Mamba,93,80,1.53,,2.46,current
