Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-26,Borneo Hornbills,Pelita Jaya,85,72,2.28,,1.55,current
2026-06-24,Borneo Hornbills,Pelita Jaya,61,74,2.15,,1.61,current
2026-06-21,Pelita Jaya,Borneo Hornbills,63,83,1.38,,2.72,current
2026-06-13,Dewa United,Pelita Jaya,78,94,1.94,,1.74,current
2026-06-12,Borneo Hornbills,Satria Muda,82,79,2.71,,1.39,current
2026-06-11,Dewa United,Pelita Jaya,83,84,1.97,,1.67,current
2026-06-10,Borneo Hornbills,Satria Muda,93,82,2.54,,1.45,current
2026-06-08,Pelita Jaya,Dewa United,93,79,1.82,,1.82,current
2026-06-07,Satria Muda,Borneo Hornbills,89,81,1.21,,3.81,current
2026-06-06,Pelita Jaya,Dewa United,76,78,1.87,,1.83,current
2026-06-05,Satria Muda,Borneo Hornbills,93,99,1.44,,2.58,current
2026-05-30,Dewa United,Tangerang Hawks,102,70,1.05,,7.40,current
2026-05-28,Pelita Jaya,RANS PIK,98,57,1.06,,6.58,current
2026-05-28,Tangerang Hawks,Dewa United,66,85,3.69,,1.22,current
2026-05-27,Satria Muda,Hangtuah,105,100,1.05,,7.49,current
2026-05-24,RANS PIK,Pelita Jaya,82,84,7.01,,1.05,current
2026-05-23,Hangtuah,Satria Muda,80,96,4.43,,1.16,current
2026-05-23,Kesatria Bengawan Solo,Borneo Hornbills,82,81,2.47,,1.47,current
