Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2025-12-06,Quezon Huskers,Binan Tatak Gel,56,49,1.44,,2.44,2025
2025-12-03,Binan Tatak Gel,Quezon Huskers,57,53,2.60,,1.38,2025
2025-11-27,Pangasinan Heatwaves,Abra Weavers,74,99,2.61,,1.42,2025
2025-11-26,Quezon Huskers,Binan Tatak Gel,65,68,1.44,,2.48,2025
2025-11-24,Quezon Huskers,Binan Tatak Gel,57,55,1.21,,3.51,2025
2025-11-19,Abra Weavers,Pangasinan Heatwaves,77,58,1.29,,3.09,2025
2025-11-17,Batangas City,Binan Tatak Gel,75,80,1.48,,2.41,2025
2025-11-14,Batangas City,Binan Tatak Gel,70,62,1.63,,2.05,2025
2025-11-13,San Juan Knights,Pangasinan Heatwaves,80,83,1.39,,2.62,2025
2025-11-07,Batang Kankaloo,Abra Weavers,62,74,5.46,,1.07,2025
2025-11-06,Binan Tatak Gel,Batangas City,72,67,2.18,,1.54,2025
2025-11-06,Quezon Huskers,GenSan Warriors,103,75,1.35,,2.81,2025
2025-10-30,Batangas City,Zamboanga Sikat,95,87,1.47,,2.39,2025
2025-10-28,Nueva Ecija Vanguards,Pangasinan Heatwaves,80,82,1.21,,3.51,2025
2025-10-24,Basilan Steel,GenSan Warriors,67,79,2.72,,1.37,2025
2025-10-23,Rizal Golden Coolers,Binan Tatak Gel,72,81,2.20,,1.54,2025
2025-10-23,Zamboanga Sikat,Batangas City,78,72,2.60,,1.40,2025
2025-10-22,Pangasinan Heatwaves,Nueva Ecija Vanguards,72,82,2.81,,1.35,2025
2025-10-22,San Juan Knights,Pasay Voyagers,77,66,1.23,,3.40,2025
2025-10-18,Batang Kankaloo,Pampanga Giant Lanterns,81,71,1.44,,2.44,2025
2025-10-16,Batangas City,Zamboanga Sikat,70,61,1.37,,2.78,2025
2025-10-16,Binan Tatak Gel,Rizal Golden Coolers,77,68,2.11,,1.62,2025
2025-10-15,Nueva Ecija Vanguards,Pangasinan Heatwaves,85,86,1.16,,4.13,2025
2025-10-13,GenSan Warriors,Basilan Steel,85,78,1.70,,1.97,2025
2025-10-13,Quezon Huskers,Mindoro Tamaraws,83,74,1.05,,7.41,2025
