Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Chicago Sky W,Portland Fire W,124,94,1.40,,2.91,current
2026-06-27,Connecticut Sun W,Washington Mystics W,68,57,2.36,,1.58,current
2026-06-27,Golden State Valkyries W,Atlanta Dream W,78,75,2.05,,1.75,current
2026-06-26,Las Vegas Aces W,Dallas Wings W,99,84,1.40,,2.93,current
2026-06-26,Seattle Storm W,New York Liberty W,99,88,3.92,,1.25,current
2026-06-26,Toronto Tempo W,Los Angeles Sparks W,125,97,1.91,,1.88,current
2026-06-25,Chicago Sky W,Portland Fire W,101,78,1.57,,2.39,current
2026-06-25,Golden State Valkyries W,Atlanta Dream W,77,66,2.10,,1.73,current
2026-06-25,Indiana Fever W,Phoenix Mercury W,109,111,1.24,,3.95,current
2026-06-25,Washington Mystics W,Minnesota Lynx W,76,78,4.04,,1.23,current
2026-06-24,Las Vegas Aces W,New York Liberty W,76,87,1.71,,2.13,current
2026-06-23,Atlanta Dream W,Toronto Tempo W,94,87,1.07,,8.18,current
2026-06-23,Connecticut Sun W,Chicago Sky W,92,63,2.34,,1.59,current
2026-06-23,Indiana Fever W,Phoenix Mercury W,86,77,1.31,,3.41,current
2026-06-22,Los Angeles Sparks W,New York Liberty W,98,97,2.79,,1.44,current
2026-06-22,Minnesota Lynx W,Washington Mystics W,79,84,1.09,,7.09,current
2026-06-21,Dallas Wings W,Chicago Sky W,93,92,1.20,,4.55,current
2026-06-21,Las Vegas Aces W,Golden State Valkyries W,92,73,1.59,,2.34,current
2026-06-20,Atlanta Dream W,Indiana Fever W,113,96,1.50,,2.57,current
2026-06-20,Connecticut Sun W,Toronto Tempo W,97,101,1.76,,2.05,current
2026-06-20,Golden State Valkyries W,Minnesota Lynx W,75,81,2.23,,1.65,current
2026-06-20,New York Liberty W,Washington Mystics W,83,86,1.12,,6.13,current
2026-06-20,Phoenix Mercury W,Seattle Storm W,93,73,1.36,,3.09,current
2026-06-19,Indiana Fever W,Atlanta Dream W,101,108,1.97,,1.82,current
2026-06-18,Chicago Sky W,New York Liberty W,95,96,4.74,,1.18,current
2026-06-18,Connecticut Sun W,Washington Mystics W,81,88,1.73,,2.10,current
2026-06-18,Golden State Valkyries W,Dallas Wings W,91,80,1.63,,2.25,current
2026-06-18,Los Angeles Sparks W,Minnesota Lynx W,83,99,4.90,,1.17,current
2026-06-18,Phoenix Mercury W,Las Vegas Aces W,76,86,3.12,,1.36,current
2026-06-18,Portland Fire W,Seattle Storm W,94,89,1.53,,2.49,current
2026-06-17,Indiana Fever W,Toronto Tempo W,113,91,1.23,,4.03,current
2026-06-16,Dallas Wings W,Las Vegas Aces W,96,66,2.29,,1.62,current
2026-06-16,Golden State Valkyries W,Los Angeles Sparks W,78,58,1.46,,2.69,current
2026-06-16,Minnesota Lynx W,Portland Fire W,107,74,1.08,,7.64,current
2026-06-14,Connecticut Sun W,Indiana Fever W,75,85,4.05,,1.24,current
