Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-03-01,Mali,Angola,80,79,3.40,,1.28,current
2026-03-01,Uganda,Egypt,52,91,6.38,,1.09,current
2026-03-01,Madagascar,Ivory Coast,74,99,12.76,,1.01,current
2026-03-01,Senegal,D.R. Congo,75,56,1.01,,11.94,current
2026-02-28,Egypt,Angola,72,83,2.69,,1.42,current
2026-02-28,Uganda,Mali,73,84,8.26,,1.05,current
2026-02-28,Ivory Coast,D.R. Congo,96,59,1.18,,4.34,current
2026-02-28,Madagascar,Senegal,66,99,12.08,,1.01,current
2026-02-26,Angola,Uganda,90,68,1.03,,9.10,current
2026-02-26,Mali,Egypt,86,77,3.10,,1.32,current
2026-02-26,D.R. Congo,Madagascar,87,79,1.52,,2.40,current
2026-02-26,Senegal,Ivory Coast,80,90,1.37,,2.88,current
2025-11-30,Guinea,Tunisia,66,57,1.92,,1.79,current
2025-11-30,Cameroon,South Sudan,60,56,2.85,,1.37,current
2025-11-30,Libya,Cape Verde,74,85,3.70,,1.24,current
2025-11-29,Guinea,Nigeria,69,55,2.14,,1.64,current
2025-11-29,Tunisia,Rwanda,79,66,1.24,,3.70,current
2025-11-28,Cape Verde,South Sudan,79,109,3.24,,1.30,current
2025-11-28,Libya,Cameroon,71,77,10.26,,1.03,current
2025-11-27,Rwanda,Guinea,70,82,3.67,,1.24,current
2025-11-27,Cameroon,Cape Verde,77,82,1.16,,4.62,current
2025-11-27,South Sudan,Libya,79,55,1.02,,10.66,current
