Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Amsterdam 3x3,Shanghai 3x3,15,21,1.37,,2.82,current
2026-06-27,Amsterdam 3x3,Gargzdai 3x3,21,16,1.25,,3.42,current
2026-06-27,Shanghai 3x3,Gargzdai 3x3,21,19,1.24,,3.57,current
2026-06-27,Skyliners 3x3,Aachen 3x3,19,17,1.32,,3.18,current
2026-06-27,Skyliners 3x3,Ulaanbaatar 3x3,13,15,2.03,,1.73,current
2026-06-27,Ulaanbaatar 3x3,Aachen 3x3,21,10,1.43,,2.63,current
2026-06-27,Liman 3x3,Sansar 3x3,16,14,1.10,,5.67,current
2026-06-27,Liman 3x3,Toulouse 3x3,18,19,1.37,,2.80,current
2026-06-27,Toulouse 3x3,Sansar 3x3,20,19,1.28,,3.31,current
2026-06-27,DeQing 3x3,Shinjuku 3x3,22,17,1.34,,3.00,current
2026-06-27,Ub 3x3,DeQing 3x3,18,21,1.15,,4.68,current
